user;waktu;ulasan;sentimen
Nevia Zunir;4 tahun lalu;Pemandangan indah sekali. Tapi jalanan menuju lokasi masih kurang memadai. Tiket masuk mobil 10rb, tiket per orang 5rb.;Positif
Teluk Panji Siregar;setahun lalu;Tambang Kapur di daerah bangkalan, Suramadu yang masih aktif dan digunakan juga sebagai tempat wisata Goa dikarenakan penambang membentuk Pola Jalur Goa di dalam tambang. Cocok untuk Offroad juga lokasinya.;Netral
Nisha Hany;2 tahun lalu;Tempatnya sangat amazing...disarankan untuk datang pagi hari...di semua sudut adalah spot foto...akses jalan masuk offroad...banyak gua;Netral
vivin widyaningsih;5 tahun lalu;Cocok buat yang suka selfie. Sebenarnya tempat ini merupakan tambang kapur, yang sampai dengan saat ini masih beroperasi. Kalau mau kesini, pastikan membawa kacamata, payung/topi, dan bila perlu menggunakan masker karena lokasinya panas dan …;Netral
Bobby Anto;setahun lalu;"Bukan tempat wisata ideal. Hanya sisa foto aja yg cakep. Ga ada pengelolaan yg baik.
Hanya tukang karcis kl dilewatin pasti ngejar. …";Netral
Debby Septyana;4 tahun lalu;Pemandangan bukit kapur yang bagus spot foto nya yang banyak di goa poteh, rekomendasi kesini waktu pagi hari atau sore, klo siang panas banget;Positif
Tatak Puji Wahyudi;3 tahun lalu;Bagus. Termasuk wisata khusus bukit kapur. Sangat disarankan kesana saat setelah musim hujan, karena danaunya akan ada airnya. Kalau musim kemarau danau akan kering. Ada goa goa kapur yang dibuat ornamen. Bagus untuk berfoto  ria. Kalau …;Positif
Sita Kia;setahun lalu;Masih alam banget. Banyak truk ambil batu kapur. Tempat nya luas.;Netral
moko fu;5 tahun lalu;Tempat nya keren untuk foto tp panas banget. Jd usahakan bawa kaca mata. Oiya kalau kesana jngan pulang malam soalnya kabar dari orang sana itu rawan arah ke bukit jaddih nya.;Positif
Zaky Dzulfikar;setahun lalu;Lokasi bagus, tempat berteduhnya minim cuma di warung-warung. Masuk gaada karcisnya;Positif
Rudy Cool;4 tahun lalu;Tempat penghilang penat dari kesibukan dikantor yg bersahabat dgn dompet, hanya akses dr jalan raya yg perkampungan msh sempit. All around very nice.;Netral
Gus Taf;5 tahun lalu;Perbukitan kapur yg gersang dg petunjuk arah dan fasilitas sangat minim. Sejumlah warung tenda dg menu seadanya, sekedar kopi & mie instan, mungkin sedang dlm pengembangan. Masih banyak alat2 berat hilirmudik, juga perlu berhati2. Tiket …;Netral
Wisnu Triaji;5 tahun lalu;Ini salah satu tempat penambangan batu kapur namun cukup instagramable di Madura. Hanya amat disayangkan krn tempat ini belum dikelola dengan baik sehingga benar2 dari jalan masuk, pengelolaan, parkir hingga tiket masuk masih berantakan. …;Netral
Sungging Nanda P;5 tahun lalu;Tempat nya bagus, cuma masih kurang bersih tempatnya, masih kurang tempat sampah, disarankan tidak datang ke tempat ini sampai malam Hari karena alasan keamanan...;Positif
A Mughnii (tukang ulin);3 tahun lalu;"banyak view foto keren di wilayah sini..
cocok bagi kalian yg lg hunting tempat buat prewedding outdoor.";Positif
Dwi Yulistyowati;5 tahun lalu;Banyak pungutan. Di pintu masuk pertama dimunta biaga parkir 5rb rupiah. Bbrp meter kemudian dimintain lagi yang 20rb. Pas buka pintu mobil diminta lagi uang 12rb....gak jelas banget deh....;Netral
Fauziah Humaira;4 tahun lalu;Perjalanan tak terencana. Alhamdulillah punya teman orang-orang baik. Di jemput dari Malang, main keliling Surabaya dan melewati jembatan suramadu. Menyebrang selat madura, pengalaman pertama. Pertama kali menginjak kaki di pulau madura.;Netral
murtriyanto antok;11 bulan lalu;Baru pertama kali mengunjungi... lumayan bagus spot fotonya... akses jalannya saja perlu diperbaiki;Positif
fajar marta;setahun lalu;Suasana alam yg menakjubkan tp sayang kurang terawat dan kurang lengkap fasilitasnya;Netral
Inunk Ajja;setahun lalu;Meskipun SDH sepi... Tpi klo di sore hari asyik dong;Netral
Wimpi Nabila F.Z.;4 tahun lalu;Panas, debu banyak, harus pake masker, sangat cocok untuk off-road, hamparan pasir putih dari batuan kapur, tutup jam 5, banyak truk pengangkut batu.;Netral
Warti Ningsih;setahun lalu;Jalan menuju bukit jaddhih goyang2 pas naik bis..tapi terbayar setelah sampai tempatnya sangat bagus?? …;Positif
Andira Hardianto;3 bulan lalu;Jalanan menuju tkp berdebu dan rusak,,taman wisata kurang terawat. Cuaca panas terik.;Netral
Trisna DJ;setahun lalu;Klo kesana mending pake jasa guide. Jd bisa ngarahin spot2 yg bagus utk foto2. Biar potonya keren;Positif
Ardian Baker;3 tahun lalu;Disini cocok dikunjungi pada saat sore / pagi hari karena terik matahari tidak terlalu menyengat. Suasana di bukit jadih sejuk, pada saat saya main kesana cuaca terik panas akan tetapi tiba tiba turun gerimis meskipun cuma sebentar tetapi …;Netral
Billy Riyanto;5 tahun lalu;Tempatnya cukup bagus. Hanya cuaca sangat panas jika datang siang hari. Selain itu tempat ini sepertinya belum dikelola dengan baik. Waktu itu tiket mobil Rp 20.000,-. Sementara tiap orang harus bayar lagi @ Rp 5.000,-.;Positif
Rahmat Taufik Afandi;4 tahun lalu;Tempatnya asyik untuk dikunjungi, menambah adrenaline jika naik motor, di musim kemarau wajib pakai masker karna akan sangat-sangat berdebu dan membahayakan paru-paru...;Netral
luth zakky;setahun lalu;Tempatnya luas & banyak spot foto bagus. Namun efek berantai dari pandemi covid rupanya cukup berpengaruh pada bukit Jaddih, tempatnya kurang terawat, banyak kios penjual makanan yg tutup, akses jalan kurang dirawat, agak menyulitkan bus …;Positif
Annisa Harjanta;4 tahun lalu;Spot fotonya bagus tapi kita harus tahan soalnya emang tambang kapur jadi banyak suara mesin yang lagi nambang.;Positif
Astuti Tri;6 bulan lalu;Tempatnya enak rasanya pingin sana lg;Netral
Briona_Lavenden _Hydrangea_Owl_Nda (Aisyee Nda);10 bulan lalu;Dulu pas ke sini, tidak ada loket, dan ... diterik bayaran hampir setiap spot. Semoga sekarang tidak lagi begitu.;Netral
Nuri Choiriyyah;5 tahun lalu;wisata alam low budget dan dapat dikunjungi segala usia, dengan pesona alamnya yang luar biasa. jika ingin berkunjung pastikan kendaraan anda dapat menjangkau track yang cukup menanjak dan curam;Netral
Brigitta Maria;5 tahun lalu;view nya bagus dan tempatnya luas sekali. perlu sedikit berhati hati krn masih banyak kegiatan pertambangan disana.;Positif
Rezki Kadartirtanto;5 tahun lalu;"Bukit Jaddih. Bangkalan. Madura
Merupakan GUNUNG KAPUR dan GOA POTEH (GOA PUTIH), ada juga tempat pemandian kolam renang dengan sumber air alami, banyak wisatawan lokal dari luar kota datang kemari.";Netral
Alifazizah Mentari;4 tahun lalu;Bukit kapur. Pertama banget dateng kesini semuanya serba putih. Jalanan daunan pohonan rumahan putih semua. Keren sih pahatan/potongan yg mereka buat. Sayang banget restribusinya kayaknya belum teratur. Mau masuk ditarik, nyampek atas masih ditarik lagi;Positif
Wisri Zanuar;setahun lalu;Banyak spot menarik untuk berfoto bersama keluarga dan teman;Netral
Cahyannisa Andriasih;4 tahun lalu;PARKIR HABIS 60RB!?? Emezing. tiap spot foto ditarikin duit20rb untuk parkir mobil. Pintu masuk ditarik 20rb di kasi karcis, naik keatas lagi di cegat, ditarok lg 20rb wkwkw dikasi karcis ntah untuk apa, kalaupun untuk parkir, pulangnya gak …;Netral
Yeni Rahmawati;5 bulan lalu;Akses jalan sangat tidak bagus. Baru sampe udah diikutin orang. Mungkin warga lokal. Tapi bikin risih aja karna ngikutin terus dan terkesan maksa. Kalau emang niatnya dijadikan destinasi wisata harusnya dapat perhatian dari pemerintah setempat.;Positif
anam mbalelo;5 tahun lalu;"Ada pemandian nya jg.
Tiap ada palang harus bayar.
Per mobil 10.000 kemudian per orang 3.000";Netral
Wafda Nadhifah;3 tahun lalu;Instagrammable tapi jelas panas, kering dan medan untuk kesana tidak bisa digolongkan mudah. Karena kemarau, saat saya kesana di Goa Pote tidak ada airnya.;Netral
Indah Sulistiorini;2 tahun lalu;Pemandangan bagus dan bersih, meski dari pertambangan kapur yg diola menjadi tempat wisata. Akses jalannya cukup mudah dan untuk harga tiketnya juga murah. Cocok sih kalo buat sesi foto prewed karena banyak spot2 foto yg memiliki view bagus. Tersedia juga tempat parkir yg luas;Positif
Purwanto -;4 bulan lalu;Tempat wisata yang elok, banyak tempat foto yang instagramable sangat disukai oleh kaum muda, ada penyewaan rakit juga disekitar danau.;Netral
Andreas Kristianto Halim;setahun lalu;Tempat yang bagus untuk berfoto, namun tidak ada petunjuk untuk ke sana dan medan perjalanan cukup terjal. Pelayanan oleh pengelola kurang bagus.;Positif
muh baharuddin;4 tahun lalu;Salah satu lokasi wisata icon di madura terketak di desa jaddih kabupaten bangkalan, disini benar2 melihat bukit kapur yg di hias dengan macam2 pahatan ada danau ada kolam renang, untuk masuk lokasi sini agak susah karena blm beraspal dan …;Netral
Faishal Nur Ammar;4 tahun lalu;Akses jalan yang kurang memadai masih  menjadi masalah saat ingin mengunjungi tempat wisata ini. Jalanan menuju tempat ini masih tergolong kecil dan sepi. Sangat rawan saat malam hari. …;Netral
zulfah aristi;3 tahun lalu;Kesini yg kedua kalinya niatnya untuk survey penelitian. Pas masuk dari jalan desa ada yang minta buat kas desa, ditanyain tentang pengelola tidak tahu, akhirnya masuk terus ada anak muda yg minta uang lagi 10rb tapi untungnya tahu tentang …;Netral
Hafidz Bramandito;5 tahun lalu;Salah satu wisata di madura, menawarkan pemandangan bukit kapur yang dimana masih terdapat aktifitas penambangan untuk di ambil kapurnya. Hanya memberikan bintang 3 karena banyak terdapat sampah berserakan, dan wisata seakan “alakadarnya”. …;Negatif
Anastasia Aozora;5 tahun lalu;"Bukit kapur yang masih ditambang sampai sekarang,  parkir bisa dua kali, karena belum ada loket resminya  ?? hati hati sama premannya ya.. ??
View nya bagus ?? …";Positif
Maya Dika Saksita;4 tahun lalu;Bukit kapur putih keren buat yang hobi hunting foto nih. tinggal pinter2 nya kita buat cari spot foto yang pas supaya hasil foto nya keren. saran aja kalau datang lebih nyaman pas masih pagi atau sekalian sore, karna kalau siang puanas banget dan berdebu karna masih ada aktifitas penambang dan truk pengangkut yang beroprasi.;Positif
Mufida Hilda;4 tahun lalu;Asalnya ini dari gunung kapur yang ditambang karena kapurnya dapat digunakan untuk berbagai kebutuhan konstruksi. Setelah digunakan untuk kebutuhan tambang justru view nya semakin bagus. Lengkap dengan goa2 putih buatan, bahkan ada kolam renang yang dikelilingi pemandangan bukit kapur.;Positif
Nurul Oktrianingrum;4 tahun lalu;"Masyaalloh,keren view.nya.tapi harus hati""debunya cukup tebal..pake kacamata biar ga kelilipan..habis dari sana jangan lupa cari carwash , hujan ga hujan debu.nya nempel tebel banget warna.nya putih..";Positif
Satria Budi Prasetyo;5 tahun lalu;Panas namun menarik, harga tiket masuk untuk motor              Rp. 20.000,- untuk mobil Rp. 40.000,-  (Maret 2018). Berhati-hati jika mengendarai kendaraan disini karena banyak tebing yang tidak terlihat jika tidak berhati-hati.;Netral
Rosita Kurniawati;5 tahun lalu;Good view sebenarnya, tapi fasilitas kurang oke. Tak ada petunjuk  tak ada org. Pdhl saya kesana minggu. Trus bayar karcis masuknya ya ngga jelas.  Secara pemandangan kerennn...;Positif
asmi ah;5 tahun lalu;Gak sengaja datang kesini karena ada waktu kosong saat main ke madura.  Lihat ada objek wisata terdekat langsung saya mampir. Pertama kecewa karena lokasinya sangat tidak aman mengingat masih ada kegiatan penambangan dengan suara alat berat …;Netral
Rifqi Anam;3 tahun lalu;Alhamdulillah pertama kali kesana ngga kena pungli, cuma bayar 5 ribu aja pas masuk sama ibu-ibu yang jaga warung. Saya sarankan berangkat pagi saja biar ga kepanasan. Karena saya berangkat agak siang jadi sampai sana sangat panas sekali …;Negatif
KO GREYMA;4 bulan lalu;Datang kesini karena lihat rekomendasi tempat wisata menarik di Madura. Lokasi cukup sulit di lalui, karena akses jalan yang sempit. Untuk pemandangan bagus dan menarik , Tapi kekurangannya adalah setelah datang kesana ada oknum Pungli yang …;Positif
Rickhad Pradana;5 tahun lalu;Salah satu destinasi wisata yang lagi naik daun di Pulau Madura, lokasinta tak jauh dari Jembatan Nasional Suramadu. Pengunjung akan dikenakan tiket masuk & parkir kendaraan saja. Selain bukit kapur yang instagramable juga terdapat kolam …;Netral
Umar Fadil;4 tahun lalu;Alhamdulillah, pertamakali kesini tahun 2015. Ternyata setelah 3 tahun ngga ke Bukit Jaddih sudah banyak sekali yang berubah. Banyao spot-spot baru yang menarik untuk di explore. Juga kawasan eisata sudah diperbaiki. …;Netral
Fian Risdia;4 tahun lalu;Tempat wisata alam yang sangat indah, unik dan menarik. Terdapat fasilitas parkir, warung, dan toilet. Disini juga ada kolam renang.;Positif
SALMAN;setahun lalu;"Kereeeen.
Begitu sampai di sini, atmosfernya serasa di pegunungan China. ?? …";Netral
AGOEZ GIPOENK69;3 tahun lalu;Tempat Wisata Yang Sangat BAGUS dan INDAH,,,cuma ada 1 kendala yang membuat saya & teman2 gak bakalan datang kesitu lagi yaitu P.U.N.G.L.I dan akses jalan yang PARAHnya sangat W.O.W...;Positif
Erron Narendro;3 tahun lalu;Tempat bekas penambangan batu putih view bagus buat foto2 sangat artistik. Ada kolam renang dan danau;Positif
Robby Handoko;setahun lalu;Bagus..harusnya  d kelola lebih serius lagi..terutama jalan menuju lokasi..aset suatu daerah perlu pemerintah turun tangan..???? …;Positif
Febrianti Puspita;5 tahun lalu;Kalo di Jogja namanya bukit breksi. Tapi disini lebih alami. Walau dimana-dimana bukit batu, tanpa pepohonan yang panasnya luar biasa. Pemandangan eksotis, serasa ada di luar negeri. Ada kolamnya juga yang kata driver dari Surabaya memang …;Netral
Bang Yazid;5 tahun lalu;Pemandangan nya sangat bagus walau hasil penambangan. Tetapi di buat menjadi lokasi wisata menawan dengan danau hasil galian dan juga ada kolam renangnya;Positif
Uswatun Hasanah;3 bulan lalu;Gersang hanya ada bukit kapur,bentuknya bgs jg sih bks diambilin trs batunya;Netral
indo alfa;4 bulan lalu;sangat indah, cocok buat yg mau healing utk lihat pemandangan, banyak tempat untuk foto2 juga ???????????? …;Positif
Nur Rochma;5 tahun lalu;Wisata alam yang mengandalkan lokasi penambangan kapur. Ada danau dengan air berwarna hijau. Pengunjung bisa mengelilingi danau dengan perahu. Tiket masuk Rp 5.000. Naik perahu Rp 5.000.;Netral
Desy Agustina;4 tahun lalu;Hawa panas luar biasa. Naik kapal 5000\orang. Uang masuk 25.000\mobil;Netral
Leo Agung;4 tahun lalu;Tempat penambangan batu kapur di madura yang menjadi hitz sebagai spot foto.Mau berbagi pengalaman jika sudah sampai dekat sana tanya dengan warga sekitar.Pada saya saat kesana saya salah masuk melalui pintu para penambang kapur dan dalam …;Netral
dida maulida;5 tahun lalu;Tempat yang direkomendasikan untuk dikunjungi saat liburan sekeluarga. Ada wahana kendara kuda dan perahu apung. Pemandangan indah dengan trek yang menantang.;Positif
fasbir hidayat;5 bulan lalu;"keren.
sayang Sepertinya kurang terawat.";Positif
Askar Bachtiar;5 tahun lalu;Instragrameble.... Tp banyak pungli (karna hampir tiap portal dikenakan biaya masuk 20rb);Negatif
Imam Warosyin;setahun lalu;Betul panorama yg mengagumkan ciptaan Illahi, yg di Eksplorasi dg multi konsep ,ekonomi pertambangan & nilai artistik sebuah wisata;Netral
Hyun Uy;2 bulan lalu;"karcis nya 2 x mahal potongan kaya preman smua
makanya sepi 0engunjung";Negatif
Sintaa Um;setahun lalu;Menurutku sih tempatnya bagus ya, cuman cuacanya aja yg panas. Kalo untuk tiket masuk dan  parkir kayaknya beda. Tapi yang pengen kesini boleh banget, jaraknya juga lumayan sih dari jalan raya ke tempat ini.;Positif
M. Fauzi Setyadi;3 tahun lalu;Wisata bekas penambangan batugamping, dengan sedikit vegetasi. Lokasi sudah dibuat aesthetic, namun tetap saja disekitarnya masih banyak penambangan sehingga banyak debu;Netral
Fauzan Ramayana;setahun lalu;Kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau, danau, kolam menjadi kering. Pengunjung juga tidak ramai.;Netral
Slamet Riyadi (JP-Cards);2 tahun lalu;Bagus kok. Yg penting angle dan kameranya juga mendukung. Tebing breksinya Madura ini.;Positif
Fauza Rahman;5 tahun lalu;Untuk pemandangan, Subhanallah indahnya, Saya baru tahu kalau itu ternyata tambang Batu, jadi hati hati ketika memasuki wilayahnya, karna Ada kendaraan proyek lalu lalang. Yg membuat saya kecewa adalah pengelolaannya yang semrawut, …;Positif
Novrizal Herdananto;4 tahun lalu;"Tambang batu kapur yang dijadikan tempat wisata.
terdapat kolam air untuk berwisata perahu dan ada juga pemandian untuk berenang2. …";Netral
Sylvia Damanyati;3 tahun lalu;Tempatnya keren tapi fasilitas utk turis ga ada jd lebih k tambang kapur biasa;Positif
Yongki Susanto;5 tahun lalu;Place for take a picture only, bukit yang di eksploitasi diambil batu kapurnya. Sangat panas dan cocoklah untuk berfoto - foto. Akses cukup mudah sekitar 30 menit dari jembatan suramadu;Netral
Andrie Oskardinata;setahun lalu;Masuk mobil 20 ribu. Masuk orang 5 ribu per orang.;Netral
Anak'e wong tani;4 tahun lalu;Tempat masih baru, tempat yang bagus,nyaman juga,cuma masih dalam perbaikan dan pembentukan batu batu menjadi objek wisata,belum bisa maksimal kalo di nikmati sekarang,tapi perlu di kunjungi sebagai spot foto sangat keren;Positif
hamka Hamka;3 tahun lalu;"Masuk dr kampung sudah di Pungli..
Masuk ke Area di tarik bayar karcis 20K untuk mobil..
Terus pas parkir bayar lagi..
?? …";Negatif
Rochma Ngaliyah;5 tahun lalu;Ga usah komen banyak-banyak, recommended banget, belum sempat explore semuanya karena keasyikan tidur anginnya sepoi-sepoi banget;Netral
Raden Djati kusuma;3 tahun lalu;Tempatnya sebenarnya bagus eksotis, alami tapi msh blm dikelola dg maksimal msh ala kadarnya ..ya mungkin krn msh ada operasional pengambilan kapur atau hal lain...yg penting tempat wisata, masyarakat setempat hrs sd siap menerima tamu;Positif
Halim Asyari;2 tahun lalu;"one of the beautiful places to take pictures and relax.
Bekas tambang batu bata yg disulap menjadi tempat wisata";Netral
Imot Iwink;4 tahun lalu;"Bukit kapur. Waktu kesana bulan oktober panas banget. Dan berdebu banget. Masih ada perbaikan dan penyempurnaan sich. Cuma untuk debu kapurnya itu.....
Belum dikekola dgn baik. Untuk parkir aja hrs 2x bayar, belum dihitung lagi per orangnya. Sayang banget";Netral
A. Rais Shidiq;5 tahun lalu;Rute menuju lokasi mudah, tinggal lihat google maps. Jalannya juga lumayan bagus, bisa dilalui mobil & motor. …;Positif
Rere Ds;4 tahun lalu;Tempatnya biasa aja sih, dan u know puanaaaaasssnya minta ampun. Kalo gamau gosong pake sunblock spf 50++ 2botol deh ?? jalan masuknya ga lebar, jalan desa gitu dimintain sumbangan seikhlasnya. Nah terus agak majuan dikit ada loketnya 1 …;Netral
Meylysa Putri;2 tahun lalu;"Instagramable tapi panas sih.
Karena memang area bukit kapur yak masih ada aktivitas tambang(?) Jadi mayan punya backsound khas :)) …";Netral
Danish Kurniawidi;5 tahun lalu;Tempatnya lumayan bersih untuk kolamnya, tempatnya bagus buat ambil foto cuma panasnya luar biasa;Positif
Rochmah irawati81;setahun lalu;"Tukang karcis tidak ramah sekali. Tempat wisatanya tidak terawat. Kotor dan tandus, airnya jg keruh bgt.
Tidak rekomen bgt dech....";Negatif
Robie Jaya;6 bulan lalu;Objek wisata yg sangat sangat tidak terawat sekarang sdh tak sebagus dlu dn juga sepi pengunjung meskipun itu weekend pungli juga banyak disana tolong di berantas oknum² nakal yg mencari keuntungan disana..;Positif
Rizki Utomo;5 tahun lalu;tempat yang Instagram able banget.  jangan datang siang ... panas dan berdebu.  sebaiknya pas menjelang sore.  belum terkoordinir dengan baik, kemarin sempet bayar parkirnya 2x ( yang satunya gak dikasih karcis ) …;Netral
Affan Rachmadi Mahmud;4 tahun lalu;Pemandangan yang ditawarkan indah banget, tempatnya berangin, tapi banyak truk suka lalu lalang, tempat yang aslinya panas makin panas deh;Positif
Petani Milenium;4 tahun lalu;Tempat indah unk ambil foto, liburan keluarga, kerabat tpi siapkan masker dan baju panjang topi jaket, karena lumayan panas, pengalaman saya jgn mudah percaya org lain yg mengaku pengelola tempat tersebut karena banyak calo diluar saat memasuki temoat tersebut.;Positif
Kiya;5 tahun lalu;Tempat cukup sepi saat weekday, dan jika weekend sebaliknya. Jalan dari gang masuk sampai ke dalam bukit cukup berpasir sehingga cukup susah dan berdebu jika mengendarai motor.;Netral
sitta Andari;4 tahun lalu;Tempat nya bagus, udara nya enak berangin, yang gatahan panas nya sama debu banget, karena masih banyak konstruksi goa pote nya. Dan banyak pekerja mengambil batu kapur nya.;Positif
MOHAMMAD LORA KHOLIL;5 tahun lalu;Kurang sip. . Pemerintah setempat harus mengelola tempat wisata biar lebih bagus untuk dikunjungi. . Perlu di tambah gazebo ataupun foodcourt biar bisa menjadi tempat bersantai;Positif
irene alluna octaviani;2 tahun lalu;Syang sekali tempatnya kurang terawat mungkin karena pandemi..;Netral
Louis N S;5 tahun lalu;"Bukit Kapur Jaddih

Tempat ini sebenarnya hanya tempat pertambangan batu kapur namun entah kenapa …";Netral
Budiono Santoso;4 tahun lalu;Bagus sekali..sayang jalan ke sana sempit dan tidak ada petunjuk arah yang pasti, orang di sanapun ditanya banyak yang tidak tahu..;Positif
Allya Nurlaily Inayya;5 tahun lalu;tempat yang sangat bagus, pemandangan bukit  yang indah dan cuaca yang mendukung meskipun panas tetapi udara nya sangat sejuk;Positif
Foni Handayani;4 bulan lalu;Tempat nya epik bagus untuk foto, tempat nya bersih, hanya saja akses jalannya kurang bagus.;Positif
Ima Virgianti;2 tahun lalu;Tempat rekreasi dimadura yang lumayan dekat dengan Surabaya. Sebaiknya kalo kesini agak pagian karena tempat nya panas banget kalo uda agak siangan... Pemandangan nya lumayan, ini tempat bukit kapur yang di keruk dan dibentuk... Masuknya ngga bayar paling cuma bayar parkir mobil saja;Netral
Al Katras;2 tahun lalu;Mumpung ada acara di Bangkalan 2017 silam, sempatkan mampir ke Wisata Bukit Jaddhih. Entah penampakannya seperti apa di tahun 2021 ini. Overall tempatnya bagus;Positif
Anisa S.;3 tahun lalu;Dari sisi pemandangannya bagus banget. Sayang aja fasilitasnya belum lengkap. Oh iya kalo kesana jangan lupa pake kacamata hitam. Haha. Kalau pas panas, waduh susah mau lihat, silau banget apalagi mostly putih2 kan jd makin silau di mata;Positif
Dydit Ardyansyah;5 tahun lalu;Perlu pemerintah untuk mengolah.. terlalu bnyak pungli dan butuh pengolahan.untuk pariwisata.. banyak proyek;Negatif
Sefri;4 tahun lalu;Lumayan bagus, jalannya buruk. Tapi pemandangannya keren karena jarang terlihat.;Positif
iecha;3 tahun lalu;Lumayanlah buat foto2.. tapi pas kesana airnya gak ada.. jadi gk bisa naik prahu deh;Netral
iftitah nadhiroh;5 tahun lalu;Tempat wisata yang cocok untuk foto-foto dengan pemandangan bukit kapur dan danau biru buatan. Harganya pas, cuma bayar untuk parkir saja. Di sana pun juga kolam renang yang bersih, ada juga perahu getek buat foto-foto ditengah danau biru. …;Netral
Oditio Arizal;5 tahun lalu;"Pintu masuknya g keliatan tandanya, panas sekali,.... sedikit sekali tempat berteduh, jgn lupa bawa payung dan sunblock klo g kebiasaan panas,
Masuk pertama 20k …";Netral
Jeffry Pieter;5 tahun lalu;Bagus utk keseluruan tempatnya mantap cuma masuknya selalu bayar gk sekalian di pintu utama.....;Positif
Grace Fransiska;5 tahun lalu;"Walau agak jauh tapi worth it kok.
Tiket untuk motor 10000. Lalu tiket masuk per orang 5000";Netral
cici adipta;3 tahun lalu;Bukit buatan yg keren abiisss cocok buat hangout bareng temen .. view ny sangat indah ..;Positif
Bidya Nila Giwiwardani;5 tahun lalu;rekomended kalo lagi ke madura, cucok buat potopoto, hatihati cuaca sangat panas kalo sedang cerah, airnya biruuuu banget, masih merupakan tambang aktif jadi berisik suarasuara mesin, ada kolam renang dan ada gua juga, tempat pilihan karena terhitung dekat ddari surabaya, berbekal GPS dan feeling juga bisa nyampe dalam 40menit-an;Netral
Andry Setiawan;4 tahun lalu;Awalnya tempat ini merupakan tempat penambangan batu kapur. Lebih baik kesini pada pagi hari atau sore. Diusahakan kesini naik mobil, kalaupun terpaksa naik motor harus rame-rame untuk menghindari tindak pembegalan. Tiket masuk lumayan murah.;Positif
Aida Syukriyah;4 tahun lalu;Objek wisata yg instagramable..bukit tmpt penambangan kapur putih ini letakny 30mnt dr bebek sinjai bangkalan dan 1.5jam dr kota surabaya..hati2 jln menuju ksini awas trjebak jln alternatif yg blm beraspal..dan sepi..disarankn untuk sll melewati jln yg beraspal pulng dan pergi;Netral
pradyka intan;5 tahun lalu;Lokasinya bagus utk foto preweding maupun postweding. Sayang jalan menuju kesananya yg agak serem, banyak begal rumornya. Lbh baik menggunakan mobil bila kesana. Dan siapkan uang kecil krn banyak ditariki biaya masuk (alias pungli);Positif
Ani Rasyadi;5 tahun lalu;Tempat ini panas n berdebu jd jangan lupa topi, kacamata n masker... Tp panas yg kita rasakan terbayar dg pemandangan yg eksotis n instagramable;Netral
yudhi ciu;4 tahun lalu;Bukit kapur di daerah bangkalan madura. Akses jalan bisa melalui jembatan suramadu. Lumayan jauh dan jalanan masih sedikit sepi. Lebih baik rombongan dan siang hari. Pemandangannya bagus. Dan masih ada kegiatan penambangan di lokasi ini. …;Positif
Rizano Antonio Sumampouw;3 tahun lalu;"Tempatnya unik, tapi sangat berdebu..
Kurang nyaman untuk berlama-lama atau bawa anak kecil ke sini.";Netral
Ruvah 14;4 tahun lalu;Tempatnya bagus banget buat foto , instagramable banget , memang panas banget , harap dimaklumi memang dimadura cuacanya sangat terik banget , cuma mau cari tempat parkir muter2 kena tarif terus , kurang tau itu pungli / memang sistemnya sprti itu , jujur emang kurang puas banget dengan adanya yg seperri itu;Positif
indra tigortigor;5 tahun lalu;Saya sudah 2x kesini, memang dekat dengan rumah tapi jalannya belum terlalu baik saat masuk wilayah perkampungan, apalagi tiket masuknya, banyak sekali. Saya kaget sekali.semoga kedepan pengelolaanya lebih baik lagi, karena jarang sekali ada tempat wisata di bangkalan.;Netral
Hasan Kusjayadi Istiawan;5 tahun lalu;Bukit Kapur Jaddih namanya, lokasi yang sebelumnya dijadikan sebagai tempat penambangan ini sekarang menjadi salah satu obyek wisata baru yang cukup ramai dikujungi wisatawan. karena ditempat ini menyajikan pesona keindahan dan keunikan …;Positif
Bagus Tamtomo Hadi;5 tahun lalu;Saya pernah kesini. Waktu itu musim hujan jadi jalannya ada beberapa titik yang becek. Dari jalan raya begitu belok masuk jalan menuju bukit udah dicegat sama oknum yg ngaku petugas tiket masuk, padahal menurut saya dia ga resmi. Tiap spot …;Netral
Fadiah Ula;4 bulan lalu;Suasana dan pemandangannya bagus, tetapi jalan menuju lokasi kurang baik;Positif
Jason geniusman;3 tahun lalu;"Wisata di bekas galian batu kapur yang masih tetap beraktifitas.
Bagus bila dikembangkan utk wisata daerah.
Kekurangannya adalah banyaknya pungutan sebelum menuju lokasi dengan alasan …";Positif
iignatius Michael;5 tahun lalu;Tempatnya tidak sebagus di foto, panas dan terik tetapi spot foto dengan angel pengambilan gambar yang bagus akan buat foto kayak di luar negeri;Positif
Artika Widiastuti;5 tahun lalu;Tempat wisata nya bagus tapi hati hati ada debu dari bukit kapur nya. Lebih baik kesini sore hari agar tidak panas. Tapi jalan masuk ke tempat wisata bergelombang, dekat kampung. Mohon diperbaiki akses jalannya.;Positif
Bagus Prayogi;5 tahun lalu;Sangat indah n nyaman.klo bisa di buat kaya di kota Petra Jordan.di bentuk rumah.biar lebih banyak yang datang.;Positif
