user;waktu;ulasan;sentimen
Alvseld Krpaul;3 tahun lalu;"Akomodasi kapal 10rb. Tiket masuk pantai 10rb, menginap 20rb. Sdh ada penyewaan kamar. Dengan rate harga antara 350 - 750rb/malam. Juga diperbolehkan mendirikan tenda sendiri.
Banyak toko/warung makanan.";Netral
jamal JR 123;2 tahun lalu;Bagus banget pantai nya, naik perahu pp 20k, tiket masuk 10k;Positif
Ikrar Mujahid;3 tahun lalu;"Salah satu Wisata Terbaik di Pulau Giligenting yaitu Pantai Sembilan.

Kejernihan lautan membuat kita bisa merefresh segala kepenatan.";Netral
Bang Oke;3 tahun lalu;tempatnya sangat rekomended buat wisata pokok e.....makanan juga murah enak sesuai harga...;Positif
Rafan Mrknalpot;5 tahun lalu;Pantai sangat indan . Mudah d jangkau . Sangat bersih lengkap dengan tempat2 istirahat gazebo .dan resort ... masuk cma 10rb . Toilet bersih;Netral
Muhammad Irsyad;5 tahun lalu;Pantai Di Ujung Madura di sebuah pulau yang sangat indah dan bakalan Tidak rugi untuk kesana,sangat saya sarankan Untuk mengunjungi pulau Ini;Positif
Rindang Lestari;5 tahun lalu;Superrr bagus ini mah.. Beneran. Kalo kesini siap2 antangin yg banyak, karna perjalanan naik perahu lbh dr 2 jam bikin kena angin terus mutah2.. ?? Over all super oke tempatnya. Disini bisa naik donat boat & banana boat jg, 50rb/org & dijamin puas banget soalnya diputer2in lamaaaaaaa. ???? …;Positif
Risma Zahra;4 tahun lalu;"Pantai luas, airnya bening, fasilitas memadai, cukup instagramable.
Tapi agak tercemari oleh sampah
30 menit naik kapal";Negatif
anggoro kheroxs;setahun lalu;Bagus cma dipasir pantainya agak kotor;Netral
bamsbhe;5 tahun lalu;Klo Naik pesawat, dari surabaya ke sumenep, trus naik kapal ke pulau Giliginting. Touring motor, motor bisa dinaikin ke kapal ?? …;Netral
Toyib;5 tahun lalu;Tempatnya bersih dan cocok untuk refreshing sekeluarga airnya tenang tidak berbahaya bagi anak anak.;Netral
Mery Nina;2 tahun lalu;Pantai yg bersih,, seruh ada permainan banana boat.. ada tempat duduk untuk bersantai. Ada tempat penginapannya. Keren ???? …;Positif
Rubedl Maleha;5 tahun lalu;Tempat wisata di kabupaten sumenep. Enak untuk buat liburan keluarga, temen, ato liburan2 lainnya.;Netral
DOKOMO INDONESIA;5 tahun lalu;Tempat yang bagus, nyaman juga, hanya saja kurangnya petugas kebersihan. Dan tata kelola utk kulinernya, akan jauh lebih bagus jika kuliner yang dijual disana benar2 ttg madura. Bahkan bukan hanya makanan bisa juga aksesoris seperti gelang manik2 dll;Positif
Vicky Faisal;setahun lalu;Pantai Sembilan, terletak di Pulau Gili Genting Kecamatan Gili Genting Kabupaten Sumenep. Pantai dengan Pasir putih dan akses yang sangat mudah sangat memudahkan orang yang ingin berkunjung ke Destinasi ini.;Netral
Kho-khoi Sholeh;5 tahun lalu;Pantai  yang sangat bagus...di pulau madura exotis dan menawan meskipun menyebrang dengan prahu...;Positif
SelmaLady Diana;5 tahun lalu;Pantainya bagus banget. Kayak di lombok sih. Akses mudah. Murah. Ada banana boat. Ada ATV. Ayunan. Resort. Banyak tempat makan yang murah juga. Rekomen banget.;Positif
Lutfi EstilLo;2 tahun lalu;Pantai nya tak se bagus n seindah dlu, karena skrang bnyak fasilitas yg kondisi nya memperihatinkan bahkan ada yg rusak .. …;Positif
guruh irawan;4 tahun lalu;Pemandangan pantai yg baguuss,  serasa sperti punya pulau sndri,  hanya lmyan panas aja klo siang ksana hehehe;Netral
IRMA RACHIM;2 tahun lalu;"Pulau dan pantai yg indah, pasir putihnya bagus bgt. Cocok buat liburan bersama keluarga tercinta.
Tp sayang penginapan agak mahal padahal kamar mandi luar, trus kamar mandinya agak kotor. Tingkatkan lagi utk kebersihan ya. Supaya pengunjungya tmbh nyaman lagi....";Positif
Lalu Muhamad Jaelani;5 tahun lalu;Pantai pasir putih dengan nuansa alam yang masih alami. Masyarakat setempat sangat ramah;Netral
Dwi Utaminingsih;setahun lalu;Untuk pantai dan lautnya bisa dibilang standar, spot foto untuk area pantai dan laut tidak terlalu banyak. Tapi uniknya di pantai sembilan itu ada banyak cottage warna warni yang lucu, sayangnya waktu itu ramai orang jadi tidak bisa foto. Menurut orang lokal, pantai sembilan ini memang selalu ramai pengunjung.;Netral
zaka riya;5 tahun lalu;Salah satu destinasi yang patut dikunjungi bagi wisatawan yang berkunjung ke Madura. Pantai dengan panorama yang indah, air yang biru, pasir putih, serta jika beruntung cuaca cerah akan menyajikan pemandangan yang mengagumkan. Untuk sampai …;Positif
zahsf zahsf;5 tahun lalu;Pantainya bagus..sayangnya masih banyak sampah padahal tempat sampah banyak..area karang sudah diberi tanda,namun tetap saja perahu kurang memperhatikan sehingga sempat nabrak karang dan susah bergerak :( sangat perlu kesadaran bagi semua termasuk pengunjung untuk tetap menjaga keindahan pantai ini;Positif
MKF•PRO GAMING;3 tahun lalu;Gili genting...pantai sembilan tempat wisata dengan ombak yg landai... bisa buat snorkling...atau berenang...;Netral
Syahrul Yulianto35;3 tahun lalu;Pantai nya bersih sangat bagus, nyaman bersama keluarga;Positif
Miftakhur Ridlo;4 tahun lalu;Pantai pasir putih dan air biru Tempatnya  bagus dan bersih sudah ada penginapan dan jet ski di penginapan yang bisa digunakan pengunjung jika sudah terlalu sore. Kekurangan dibelakang hotel ada pekuburan yg bisa membuat orang jurang nyaman.saran perbanyak tempat sampah agar sampah bisa tertampung;Positif
yurike ferdiyanti;5 tahun lalu;"Jernih banget airnya hanya saja masih banyak sampah"" di laut";Negatif
Tri Bungso;5 tahun lalu;Pulau Madura, kebanyakan orang mungkin mengenal pulau ini dengan Karapan Sapi atau Bebek Sinjay-nya. Tapi, apakah Anda tahu kalau Pulau Madura sebenarnya punya banyak potensi lainnya? Ya, sebagai pulau yang terpisah dari Pulau Jawa, Pulau …;Netral
Sofie Najakha;4 tahun lalu;"Perjalanan nyebrang yg sangat luar biasa, tapi seru...
Pantai yg sangat rekomendasi buat d kunjungi bareng keluarga...
Murah, tapi memuaskan";Positif
Januar Setyadharma;4 tahun lalu;Pantainya bersih, suasananya tenang, masyarakatnya sangat ramah, bagus sekali untuk tempat beristirahat, benar2 pulau wisata yang damai;Positif
Aldino Wildan R;4 tahun lalu;Tempat yang indah, ada tempat penginapan nya harga relatif terjangkau, pemandangan bagus dan keren, bisa untuk honeymoon, tapi klo mau berenang harus berhati-hati karena ada daerah pantai yang di huni oleh BabiLaut atau Landak Laut, dan di …;Positif
Dinda Ratna Safitri;setahun lalu;Bagus, cukup bersih pantainya ?? …;Positif
muhammad zainurullah;3 tahun lalu;Pantai cukup bagus... Hanya perlu di percantik lagi dengan tambahan sarana-sarana lain yang menarik minat pengunjung.;Positif
Icha Rifka;2 tahun lalu;Soo beautiful,, selain disuguhkan dengan pemandangan pantai yang indah di sini kita juga tidak perlu khawatir untuk bermalam karena tersedia penginapan yang nyaman dengan suguhan hamparan pasir putih dan deburan ombak yang tenang ?? …;Positif
Agus Nu'man;5 tahun lalu;"pantai asyik di madura....?
ya pantai sembilan donk.....
asyik buat apa....? …";Netral
Mimi Aisyah Muyassyarofin;5 tahun lalu;Kereen..ada banana boat dll,tp sayangnya kalau kesana siang hari..puanass bgt..dan berangkat pulang juga susah,nunggu penuh dulu kapal br brgkt;Netral
INJ PenaOficial;3 tahun lalu;Sangat bagus tiket  juga cukup murah hanya dengan  RP. 10.000 per orang, dan biaya kapal angkut dari pelabuhan saronggi smpai kepantai hanya RP. 10.000 per orang.. dan disana tempat nya cukup nyaman apalagi untuk sesi pemotretan;Positif
DAT.;2 tahun lalu;Pasir pantainya bersih dan putih, ombaknya begitu tenang. Tempat yg asik buat berlibur bersama teman di sumenep pokoknya. Beragam fasilitas tersedia didalamnya mulai home stay hingga toilet dan warung makan.;Netral
Ria Hestika;4 tahun lalu;indah banget gk nyesel deh kalo kesana, apa lagi ada penginapan nya ?;Positif
Hardy Goldberg;4 tahun lalu;Ombak yang tenang pemandangan bagus.  Baik sunrise maupun sunset sangat mengesankan. Bakal kangen deh!;Positif
andri sulistiono;10 bulan lalu;Keren, bersih dan satu lagi ramah anak serta keluarga;Positif
A.P Channel;4 tahun lalu;Bagus, bersih air jernih, kamar mandi bersih top deh pokok nya;Positif
Asep madrid;2 tahun lalu;Tempat yang sangat bagus sekali , jika ingin healing atau mencari sebuah ketenangan dengan tempat pantai yg ombaknya tenang dan sepi;Positif
aly who;5 tahun lalu;Pantai baru diujung gili genting, dibentuk oleh sang kepala desa, tersedia warung penjual aneka jajanan dengan harga yg normal, tersedia penginapan di tepi pantai, penyebrangan dari sumenep bisa lewat pelabuhan kalianget....;Netral
Nwbex;setahun lalu;"Tahun 2020 pernah pulang, sama ponakan
Tahun 2022 pulang sama suami";Netral
Nizar Rama;5 tahun lalu;Pantainya bagus banget, gak nyesel jalan jauh dari Surabaya ke Sumenep dan harus nyebrang lagi pakai KM. Di dekat pantai tersedia penginapan yang bisa di sewa untuk pengunjung dan warung-warung makanan juga tersedia disini. Pasirnya dan …;Positif
Saniya;4 tahun lalu;Exited parah pas kesini karena tempatnya bagusss banget, kebetulan pengunjungnya sedikit jadi kayak pulau pribadi?? …;Positif
Putriluph Aremanita;3 tahun lalu;"Sumpah nyebelin bgt, datang ke vilanya wktu jm 11 siang, nyalahin ac tp acnya g nyala, bukanx di cek malah di bilang ""kalau siang itu emang panas kalau mau dingin ya nunggu sore, kalau g mau uangx saya kembalikan saja, tidur di luar"" masak …";Netral
Bj Utomo;4 tahun lalu;Surga tersembunyi di ujung timur pulau madura,pulau gili genting namanya,pantai pasir putih,bersih,ada resortnya,wajib dikunjungi kalau ke sumenep madura;Netral
Luthfi Alvin;5 bulan lalu;Pantai ini sangat indah, berpasir putih, lautnya biru bening, dan masih asri;Positif
verinda alviani;4 tahun lalu;Lautnya hijau hijau biru, pemandangan bagus, tiket masuknya murmer, kamar mandinya juga bersih. Tapi dipasir pantainya pernah nemu sampah piring kaca :( . Semoga semakin bagus kedepannya.;Positif
Vitria Aini;3 tahun lalu;Pantainya lumayan bagus untuk singgah sebelum snorkeling ke gili labak.;Positif
Andhika Kurniawanto;4 tahun lalu;Pantai yang bersih, suasana tidak terlalu ramai cocok sebagai tempat escape di saat weekend;Netral
the skinny feet;3 tahun lalu;bagus pantainya akses kepulau ini juga lebih mudah daripada gili lainnya;Positif
Naufal El Fany;4 bulan lalu;Mungkin kebersihannya perlu dijaga lagi, terutama bagi pengunjung;Netral
Farhad Najib;setahun lalu;Untuk ke pantai ini harus menaiki perahu kecil /perahu barang dari Pelabuhan Tanjung menuju Pulau Gili Genteng, biasanya beroperasi mulai pagi sampai sore. …;Netral
Ummi Faridlah;5 tahun lalu;Tempat wisata yg indah... Dengan pasir putihnya... Cocok untuk yang suka selfie... ???? …;Positif
fadlur rahman;setahun lalu;Wisata yang cocok untuk menghasilkan problematika kehidupan;Netral
affan redha;5 tahun lalu;Pantai sembilan yg kerren jika klian ingin mengunjui lbih baik klian menginap untuk 1 malam karna pemandangan d pantai sembilan sangat asri pasir putih dan laut biru yg akan memanjakan mata anda untuk melepas stres sejenak ?? …;Netral
Erlin Serli Selvia;5 tahun lalu;Pantainya masih bagus pulau yang ramah & satu lagi yang bikin nyaman harga makanan sekelas tempat pariwisata di sini harga nya ga main getok alias bersahabat;Positif
Salman Al Farisi;4 tahun lalu;Kekayaan indahnya gugusan pantai yang harus pemerintahan sumenep rawat dan kembangkan sebagai bentuk menjaga ciptaan allah swt yang diberikan dan membanggakan.;Positif
Nana Wati;5 tahun lalu;pantainya bagus dan terawat.cocok untuk liburan keluarga.ada banana boatnya juga seru bnget disini .warung ada komplit. penginapan juga ada. mck bersih dan terawat,;Positif
Beny Himawan;5 tahun lalu;Recomended untuk wisata yang tidak terlalu banyak menguras kantong.;Netral
Qoriatur Riani92;5 tahun lalu;Naik perahu k pantai sembilan PP 20k. Tiket masuk pantai 10k. Nikmatnya murah meriah :);Positif
Budi Rismanto;4 bulan lalu;"Bagus sekali
Saya baru saja pulang dari pantai sembilan";Positif
albertus arif;4 tahun lalu;Pantainya bersih. Bagus. Menyenangkan.;Positif
militia arch;4 tahun lalu;Pantai bersih dan jauh dari kata ramai, namun keindahaannya tak perlu diragukan. Kika berniat ke tempat ini, jgn lupa buang sampah2 anda pada tempat untuk tetap menjaga kualitas keindahaan pantai;Positif
Chacha Oktaviana;sebulan lalu;Pasir putih, ada villa, gazebo yang layak;Netral
veryx bashter;4 tahun lalu;Tempatnya asikk untuk keluarga. Pantainya putih bersih. Cocok untuk berlibur bersama keluarga, teman dan rekan kerja. Pemandangan senjanya sangat indah;Positif
Ary Wijayanto;setahun lalu;Bagus. Murah.tp  sayang sampah yg kebawah air laut dibibir pantai terabaikan.;Positif
Faisal Resa Imahendra;5 tahun lalu;Pantai yg nyaman, apalagi pas weekdays. Penduduknya jg ramah.;Netral
Arief Arfi Alfikry;2 tahun lalu;indah... setelah dilewati dengan perahu... akhirnya sampai juga;Positif
Bruto Shaberz;setahun lalu;Sangat seru perjalanan menuju ke pantai sembilan.harga pas di kantong;Netral
Arini Bariroh;2 tahun lalu;"Makanan murah dan enak juga
Suasanya enak bgt apalagi kalo malem2
Uh sukak";Positif
Riza Eka Silvia;5 tahun lalu;Bening banget, yang mau snorkeling bisa langsung renang aja, kalo nggak mau basah banyak area potret juga kok.;Netral
Raden Kepelengan;4 tahun lalu;"Keren banget..pantai tak ternoda, semuanya asli
Semoga masyarakatnya bisa menjaga keindahannya";Positif
Ilham Ramadani;5 bulan lalu;Bagus pantainya tp kadang kurang di manage;Positif
ozie s ampas;11 bulan lalu;Baik buat main di panatai atau yang mau nginap meikmati sunset;Netral
agus kurniawan;5 tahun lalu;Pantai yg indah ditengah pulau giligenting sumenep madura,fasilitas mulai lengkap dan murah.;Positif
MISBAHUL MUNIR46;setahun lalu;Tempat lumayan bagus tapi gak sebagus dulu lumayan dah;Positif
Nisa Aulia;setahun lalu;Sejuk dan tersedia penginapan pula, akses menuju tempat harus menyebrang laut;Netral
Richa Muthaharoh;3 bulan lalu;Bagus cm fasilitas banyak yg tak terawat;Positif
Om Bess Penrem 082;4 tahun lalu;Ahamdulilah keturutan juga bisa ke Pantai Sembilan, untuk menuju ke pantai bisa mengunakan kapal harganya juga terjangkau. 10 rb / orang.;Netral
Cia Maharani;5 tahun lalu;Bagus pantainya, perjalanan yg ditempuh sekitar satu jam naik perahu. Biaya pp perahu 20rb.;Positif
Firdausi Ummi N;setahun lalu;Cocok banget untuk melepas penat ?? …;Netral
Tuty ID;4 tahun lalu;Pantai dengan pasir putih yang terletak di Pulau Giligenting, Kabupaten Sumenep. Airnya sangat jernih. Kamu bisa snorkelling maupun diving;Netral
Xiu Jia;5 tahun lalu;Tempatnya bagus. Cocok untuk berenang anak-anak;Positif
MOH HAIRUL;4 minggu lalu;bagus bgt wisatanya;Positif
dodik harianto;5 tahun lalu;Pantai tenang. Pasirnya putih nyaman untuk berenang.;Netral
AMR GO;4 tahun lalu;"Masih bersih dengan warga yg ramah
Makanan dan minuman pun masih terbilang bersahat untuk daerah wisata";Netral
Aan S;setahun lalu;Pantai sembilan di pulau gili genting, harga makanan murah, view bagus banget trutama ketika sunset. Tempat menginap standar, check in fleksibel kl kamar ready, selain itu bs sewa tenda dome kl berminat camping. Minus : banyak smpah dimana2, padahal tempat sampah disediakan banyak banget.;Positif
Inna Endri Prasetyo;5 tahun lalu;Pasir putih yg masih alami, jauh dari kebisingan kota. Udaranya bersih, view nya bagus. Menikmati keindahan pantai sambil bersantap ikan segar yg langsung dimasak;Positif
Darkdevil Reborn;setahun lalu;Wisata pantai favorit keluarga, pasir bersih, ombak tenang, penginapan terjangkau.;Netral
Mazvil Channel;setahun lalu;Nyaman buat wisata keluarga;Netral
Ida Wati;2 tahun lalu;Tempatnya bersih dan nyaman untuk rekreasi keluarga..tersedia juga penginapannya..wah pokoke manteeeep?????? …;Netral
Adiansyah moxer;setahun lalu;Cukup bagus air jerni pasir putih/ tapi sarana toilet mahal?? …;Positif
Astri Ardillah Arifin;4 tahun lalu;Pagi2 pantainya sudah dibersihkan, jadi bebas dari sampah.. Pokoknya syukak banget?? …;Negatif
aisyah hanah;4 tahun lalu;Pantainya bersih... pasirnya putih dan lautnya biru sekali;Netral
Tatung;2 bulan lalu;Mantap;Netral
Mariska Regina;4 tahun lalu;biasanya ini satu trip sama gili labak tempat yang bagus dan masih sepi;Positif
Eky Now;5 tahun lalu;Oh surga duniawi, memanjakan mata bagi setiap pengunjungnya;Netral
achmad williyansyah;5 tahun lalu;"pulau yang tak terlupakan.
jangan sampe ketinggalan perahu tapi ??, perahu penyebrangan terakhir jam 4 bukan jam 5 …";Netral
Azizah Sayang;4 tahun lalu;Pantainya super duper bagus paraahhhh ???????? …;Positif
Anugerah Eka Yannudin;4 tahun lalu;Pantai sembilan, tempat workshop saya, berlibur sambil diskusi pekerjaan...... Air lautnya bening, tempatnya nyaman, suasananya bagus apalagi sunset;Positif
Ardik Wijayanto;5 tahun lalu;Pantai yg indah, bersih dan pasir yg putih;Positif
Eko Cahyono;4 tahun lalu;Penataannya keren, udah banyak perubahan sekarang;Positif
zheen mradas;4 tahun lalu;Tempat wisata pantai yang sangat memanjakan mata;Netral
rizki sabella;5 tahun lalu;puanas banget..pasirnya gak seberapa putih..tp lumayan buat obyek foto;Netral
sugeng santosa;11 bulan lalu;Mantap buat healing gesss...;Netral
Agus Triyono;setahun lalu;Bagus....... Ada penginapan... Asyik;Positif
Adi Karna Wicitra;2 tahun lalu;"Bagus bgt, low budget .. Orang orang sana juga ramah""..";Positif
yogi putra pratama;3 tahun lalu;Biasa aja, skrang udah bersih disini cman transit buat foto dan makan trus lanjut ke gili labak;Netral
Ridha Ashfiyah;5 tahun lalu;Pantainya cantik..ditambah display nya oke.. ditambahin lagi fasilitas dan pelayanan nya ya;Positif
Cucu Khotimah;4 tahun lalu;Keren banget.. airnya jernih.. pasir putih dan bersih?? …;Positif
Khairul Bakri;4 tahun lalu;Cantik, nyaman dan wajib anda coba.. Pantai sembilan Giligenting Sumenep;Positif
Mohammad Halim;4 tahun lalu;"#pantai9
Joss
Terkangkau
Indah";Positif
cantik q Aisyah;5 tahun lalu;Indah banget pantainya,airnya biru...?????? …;Positif
VAN girl;5 tahun lalu;Hati2 kalo ombaknya besar, mending gak usah nyebrang. Kalo yg gak biasa naik perahu bisa mabuk laut.;Netral
Rama Aliansyah;5 tahun lalu;Dari semua pantai yg saya kunjungi, saya paling suka Pantai ini. Dari pemandangan, kebersihan, keteraturan, fasilitas, penyediaan tempat sampah. Very excellent.!;Negatif
Achmad Ghozali;4 tahun lalu;Pantai nya bagus..tapi cuaca nya panas.cocok buat ngitamin kulit.;Positif
lintang violetta;5 tahun lalu;Pantai nya bersih penginapan juga tersedia .. Tapi penjual dan masyarakat tidak ramah;Netral
Lisa Agustina;5 tahun lalu;Wisata murah tp mmberikan kepuasan seperti ke pantai luar negeri... Bisa sewa banana boot dan sborkling, menginap juga...;Positif
Vika Saraswati;5 tahun lalu;Sudah di fasilitas penginapan yang bagus, unik, pantainya juga bersih, aktivitas bermain di pantai juga ada mulai bermain banana, sewa ATV;Positif
Shadrissaid;2 tahun lalu;Kerren mantap banget tempatnya;Netral
Rodlita Aisyiyatana;4 tahun lalu;Indah pantainya, nyaman juga bermalam di penginapannya;Positif
rin aku;4 tahun lalu;Fasilitas cukup baik, pemandangan bagus, ada  penginapan juga;Positif
Ncep Samad;setahun lalu;pulau yg masih asri.. penduduk yg selalu ramah,, bagi para pemancing,, angler anhler mania,, cukup rekomended utk tempat memancing.. banyak spot spot mancing yg sangat menjanjikan;Netral
DUDI INDRAYATNO;4 tahun lalu;Bersih, indah, sejuk, kuliner lengkap, murah meriah;Positif
Arif Firmansyah;4 tahun lalu;Spot Pantai Pasir Putih yang bagus untuk keluarga;Positif
Nugroho Haris;4 tahun lalu;Bagus dan bersih, sangat cocok untuk ingin menikmati udara pantai;Positif
Eveline 0201;2 tahun lalu;Pantai menyenangkan....indah lagi;Positif
Hvdns Studio;2 tahun lalu;Pantai yang cukup bagus. Ada banyak gazebo dan tempat duduk yang bisa digunakan beramai-ramai. Photo booth juga cukup unik. Bisa juga menginap di kamar-kamar atau villa atau apalah namanya itu yang biayanya saya enggak tahu. Saya ke situ …;Positif
arif alam;4 tahun lalu;Pantai Sembilan itu Indah dg homestay yang sangat istimewa , harga terjangkau;Positif
Idam Achmad Faizin;5 tahun lalu;Pantainya bagus, airnya jenih. Cuman gak ada snorkeling dkk;Positif
prast invida;2 tahun lalu;Nyaman,asri pantai bersih;Netral
Wak Sing;5 tahun lalu;View nya bagus, air laut bersih, ada penginapan;Positif
Fahrur Rosi;4 tahun lalu;Tempat yang asyik buat liburan, bersantai atau sekedar menghabiskan waktu luang.;Netral
Moh. Syaifa Hamidillah HK21 030;4 bulan lalu;Pantai yang cocok untuk berwisata sekeluarga;Netral
Rendra Satria Wardhana;setahun lalu;Gerah ga ada angin;Netral
Ahmad Solihul Hadi;setahun lalu;Keren banget pemandangan yagesya;Positif
Anisah Nisrina;3 tahun lalu;Fasilitas memadai, tiket masuk murah, lumayan bersih pantainya;Positif
Mohammad Zafradi Wagiono;2 tahun lalu;Banyak spot foto, byk tempat makan harga standar;Netral
Fathiyah 08;4 tahun lalu;Pantai yang sangat bersih dan tenang, cocok untuk honeymoon atau liburan keluarga;Netral
neny zhabil husnaeny;5 tahun lalu;Tempat yang pas buat liburan keluarga dengan laut yang tenang dan keindahan pantainya....;Positif
Habibah Krisdy;2 tahun lalu;?????????? ???????????? ???? ???????????????????? …;Netral
Bang Ibe;4 tahun lalu;Wisata pantai yg bagus bgt yg ada di kab.sumenep.;Positif
Edi Waloyo;setahun lalu;"Lautnya jernih tempak wisata dengan pasir
Ada penginapan dan banana boat
Yang hoby mancing pasti terpuaskan";Netral
Murni Handayani;5 tahun lalu;Amazing landscape, amazing peoples. Love itu, sangat layak untuk dikunjungi lagi;Netral
Gita Savitri;5 tahun lalu;Pantainya bersih & bagus. Mungkin bs ditambah toko2 souvenir dll seperti di Kuta, Bali;Positif
Nur Laili;3 tahun lalu;Sumpahh pemandangannya bagus bangett, harga makanannya juga aman di kantong ?? …;Positif
fildzah miftaqul dina;4 tahun lalu;Sukak sama penginapanya, airnya jernihh;Netral
suwarna nadhira;setahun lalu;Pantainya bagus dan ckp bersih...klu pengunjung sadar wisata mgkn akan tetap bersih terjaga...cm ada bbrp pengunjung yg meninggalkan bekas bungkus makanan disembarang tempat...;Positif
Rahmat Hidayat;3 bulan lalu;Tempat yang bagus untuk wisata keluarga;Positif
Lidwina Arin;4 tahun lalu;Waktu datang ke sana, sepi banget tumben. Hanya ada rombongan kami 8 orang. Pantainya bagus, lautnya juga bagus. Banyak penginapan cantik dan unik bentuknya, seru juga sepertinya. Harus coba utk menginap deh lain kali bila ke tempat ini …;Positif
mufli only;setahun lalu;Pantai yg cukup bersih ,tiket masuk pantai saya di kenai bea 20k,ada banyak tersedia berbagai macam makanan,mau stay di sini harga bervariasi mw dekat pantai or menjauh,,dekat pantai hrg 300-350,,mw tinggal dekat penduduk tergantung nego …;Netral
Sultan Iskandar Dinata;4 tahun lalu;Pantai yang indah dan penduduk yang ramah;Positif
RnT;4 tahun lalu;Sunset dan sunrisenya cantik banget. Pasir putih dan ombak yang lembut membuatku ingin kembali lagi ke sini. Malam minggu di sini rame banget, kita malah tidur di pinggir pantai sampai pagi. Banyak spot selfie dan wahana permainan air …;Positif
abdul cholid;4 tahun lalu;Panti bersih, villa nyaman. Suasana malam yang bagus.;Positif
Syaiful Amien;2 tahun lalu;Rekomendasi destinasi wisata di kabupaten Sumenep cukup nyaman dan menyenangkan;Netral
Ali Abror;4 tahun lalu;Pantai yang bagus dan lumayan bersih. Tempat sampah kurang banyak. Banyak pengunjung yang suka buang sampah di laut. Harga tiket 10k non weekend. Kalo rame mungkin naik. Tiket sudah termasuk sewa sampan dan berlaku satu kali. Kalo mau …;Positif
Ika Ginting S.;2 tahun lalu;Untuk ke pantai sembilan ini ada perahu reguler yang berangkat dari Pelabuhan Tanjung Saronggi, tarifnya 10 ribu per orang dewasa. Perahu ini cukup besar dan bisa membawa sepeda motor dalam jumlah banyak. Parkir mobil di daerah sini …;Netral
Ila Muizza;5 tahun lalu;Tempat yg bagus. Pokoknya kalau butuh vitamin Sea ke sini aja.;Positif
Alzio Kids;4 tahun lalu;Saya bersyukur setelah dari penyeberangan pake kapal tongkang Rp. 10,000 trus nyampe deh di pantai sembilan. MasyaAllah,walhamdulillah pantainya bersih. Itu dulu yg tertangkap oleh pikiran saya. Selanjutnya fasilitas yg lain antara lain …;Netral
Ady Prasetya;3 tahun lalu;fasilitas yang lengkap mulai dari toilet, banana boat 130rb!max.6org , persewaan kano, atv, spot foto gratis, tempat istirahat dan juga ada penginapan bagi yang ingin bermalam dengan tarif 300~600rb!malam. bagi yang mau camping juga ada …;Netral
Zig Zag;setahun lalu;Berisik, live musicnya rame, suaranya fals, pokoknya gak worth it banget lah kalo mau tenangin diri kesini, yang ada malah nambah pikiran;Netral
Ahma Rizal;5 tahun lalu;Bagus pantai nya saya sudah ke 2× nya kesana tapi gk pernah bosan dan ingin kesana lagi,lagi,dan lagi;Positif
Ciden;5 tahun lalu;Tempat menginap yang disewakan bagus. Tepat di depan pantai dan terdapat pepohonan.;Positif
Disini Indomaret;3 tahun lalu;"Sedang rame malah air ga ada
Trs lampu wc mati
Waktu datang kano tdk bisa digunakan karna bocor …";Netral
yonzi ya;4 tahun lalu;Pantai yang masih bersih di seberang pulau Madura. Tempatnya bersih dan nyaman. Pasirnya putih masih bersih. Ada beberapa permainan di laut, banana boat, dll. Ada beberapa bungalow murah meriah menghadap pantai. Tinggal pengelola harus bisa menjaga kebersihan pantainya supaya orang kerasan karena merasa nyaman.;Positif
KSDS Channel;4 tahun lalu;??keren sih kalo di lihat dari pemandangan dan hal hal lain yg di sediakan oleh pengelola. tapi sayangnya kita di batasi untuk berenang tidak boleh jauh jauh.  untuk tempat ganti pakaian sudah ok nih gan. jadi gk seperti pantai lain di sini …;Positif
de as;4 tahun lalu;"1. Pasirnya putih
2. Pasir dan air bersih
3. Ada penginapannya juga (ber AC). Jumlahnya cukup banyak sekitar 10 penginapan …";Netral
Solex (Muhammad Sholehuddin);2 tahun lalu;mantap, ngecamp 20k masuk 10k, sewa tenda(2 orng) 50 k, buat kapal 10k/org kalo motor diangkut 10k+2k(jasa angkut motor kekapal;Netral
E Sugeng Riyadi;4 tahun lalu;Menurutku tempatnya enak, pasir putih dan ada obyek buatan buat foto fotoan. Cotage juga ada, walau ukurannya kecil sekitar 3x3 meter. Cuma kejelekannya, saat turun dari kapal mau menyeberang jembatan kearah pantai dimintain karcis terus saat sampai ujung jembatan saat sampai di pantai dimintain karcis.;Negatif
Aya J;4 tahun lalu;When I was there,  the beach was so clean, no trash and trash bin everywhere. You also can rent snorkeling set. Penjual makanan ringan dan berbagai minuman juga tersedia. Juga ada gubuk yang rapih dan menarik untuk pengunjung yang ingin …;Netral
uma nisfa;2 tahun lalu;Pantai yg sangat indah..meskipun harus nyebrang lautan untuk bisa kesana...viewnya juga sangat cantik ...ada penginapan juga di pinggir pantai...jd bangun tidur langsung bisa menatap lautan...?? …;Positif
Adlin Maulidia;3 tahun lalu;"sebelum sampai ke lokasi pantai, pengunjung harus menyebrangi lautan ??
kapal cukup besar karena selain memuat orang (nggak tau berapa maksimalnya), juga memuat sepeda motor (nggak tau juga berapa maksimal angkutnya). setelah turun ke darat, dilanjut jalan kaki untuk sampai ke pantai …";Netral
