lokasi;ulasan;sentimen
Bukit Jaddhih;Alhamdulillah pertama kali kesana ngga kena pungli, cuma bayar 5 ribu aja pas masuk sama ibu-ibu yang jaga warung. Saya sarankan berangkat pagi saja biar ga kepanasan. Karena saya berangkat agak siang jadi sampai sana sangat panas sekali …;Negatif
Bukit Jaddhih;Datang kesini karena lihat rekomendasi tempat wisata menarik di Madura. Lokasi cukup sulit di lalui, karena akses jalan yang sempit. Untuk pemandangan bagus dan menarik , Tapi kekurangannya adalah setelah datang kesana ada oknum Pungli yang …;Positif
Bukit Jaddhih;Salah satu destinasi wisata yang lagi naik daun di Pulau Madura, lokasinta tak jauh dari Jembatan Nasional Suramadu. Pengunjung akan dikenakan tiket masuk & parkir kendaraan saja. Selain bukit kapur yang instagramable juga terdapat kolam …;Positif
Bukit Jaddhih;Alhamdulillah, pertamakali kesini tahun 2015. Ternyata setelah 3 tahun ngga ke Bukit Jaddih sudah banyak sekali yang berubah. Banyao spot-spot baru yang menarik untuk di explore. Juga kawasan eisata sudah diperbaiki. …;Positif
Bukit Jaddhih;Tempat wisata alam yang sangat indah, unik dan menarik. Terdapat fasilitas parkir, warung, dan toilet. Disini juga ada kolam renang.;Positif
Bukit Jaddhih;"Kereeeen.
Begitu sampai di sini, atmosfernya serasa di pegunungan China. 😬 …";Positif
Bukit Jaddhih;Tempat Wisata Yang Sangat BAGUS dan INDAH,,,cuma ada 1 kendala yang membuat saya & teman2 gak bakalan datang kesitu lagi yaitu P.U.N.G.L.I dan akses jalan yang PARAHnya sangat W.O.W...;Positif
Bukit Jaddhih;Tempat bekas penambangan batu putih view bagus buat foto2 sangat artistik. Ada kolam renang dan danau;Positif
Bukit Jaddhih;Bagus..harusnya  d kelola lebih serius lagi..terutama jalan menuju lokasi..aset suatu daerah perlu pemerintah turun tangan..👍👍 …;Positif
Bukit Jaddhih;Kalo di Jogja namanya bukit breksi. Tapi disini lebih alami. Walau dimana-dimana bukit batu, tanpa pepohonan yang panasnya luar biasa. Pemandangan eksotis, serasa ada di luar negeri. Ada kolamnya juga yang kata driver dari Surabaya memang …;Positif
Bukit Jaddhih;Pemandangan nya sangat bagus walau hasil penambangan. Tetapi di buat menjadi lokasi wisata menawan dengan danau hasil galian dan juga ada kolam renangnya;Positif
Bukit Jaddhih;Gersang hanya ada bukit kapur,bentuknya bgs jg sih bks diambilin trs batunya;Positif
Bukit Jaddhih;sangat indah, cocok buat yg mau healing utk lihat pemandangan, banyak tempat untuk foto2 juga 👍🏻👍🏻👍🏻 …;Positif
Bukit Jaddhih;Wisata alam yang mengandalkan lokasi penambangan kapur. Ada danau dengan air berwarna hijau. Pengunjung bisa mengelilingi danau dengan perahu. Tiket masuk Rp 5.000. Naik perahu Rp 5.000.;Positif
Bukit Jaddhih;Hawa panas luar biasa. Naik kapal 5000\orang. Uang masuk 25.000\mobil;Negatif
Bukit Jaddhih;Tempat penambangan batu kapur di madura yang menjadi hitz sebagai spot foto.Mau berbagi pengalaman jika sudah sampai dekat sana tanya dengan warga sekitar.Pada saya saat kesana saya salah masuk melalui pintu para penambang kapur dan dalam …;Positif
Bukit Jaddhih;Tempat yang direkomendasikan untuk dikunjungi saat liburan sekeluarga. Ada wahana kendara kuda dan perahu apung. Pemandangan indah dengan trek yang menantang.;Positif
Bukit Jaddhih;"keren.
sayang Sepertinya kurang terawat.";Positif
Bukit Jaddhih;Instragrameble.... Tp banyak pungli (karna hampir tiap portal dikenakan biaya masuk 20rb);Negatif
Bukit Jaddhih;Betul panorama yg mengagumkan ciptaan Illahi, yg di Eksplorasi dg multi konsep ,ekonomi pertambangan & nilai artistik sebuah wisata;Positif
Bukit Jaddhih;"karcis nya 2 x mahal potongan kaya preman smua
makanya sepi 0engunjung";Negatif
Bukit Jaddhih;Menurutku sih tempatnya bagus ya, cuman cuacanya aja yg panas. Kalo untuk tiket masuk dan  parkir kayaknya beda. Tapi yang pengen kesini boleh banget, jaraknya juga lumayan sih dari jalan raya ke tempat ini.;Positif
Bukit Jaddhih;Wisata bekas penambangan batugamping, dengan sedikit vegetasi. Lokasi sudah dibuat aesthetic, namun tetap saja disekitarnya masih banyak penambangan sehingga banyak debu;Positif
Bukit Jaddhih;Kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau, danau, kolam menjadi kering. Pengunjung juga tidak ramai.;Negatif
Bukit Jaddhih;Bagus kok. Yg penting angle dan kameranya juga mendukung. Tebing breksinya Madura ini.;Positif
Bukit Jaddhih;Untuk pemandangan, Subhanallah indahnya, Saya baru tahu kalau itu ternyata tambang Batu, jadi hati hati ketika memasuki wilayahnya, karna Ada kendaraan proyek lalu lalang. Yg membuat saya kecewa adalah pengelolaannya yang semrawut, …;Positif
Bukit Jaddhih;"Tambang batu kapur yang dijadikan tempat wisata.
terdapat kolam air untuk berwisata perahu dan ada juga pemandian untuk berenang2. …";Positif
Bukit Jaddhih;Tempatnya keren tapi fasilitas utk turis ga ada jd lebih k tambang kapur biasa;Positif
Bukit Jaddhih;Place for take a picture only, bukit yang di eksploitasi diambil batu kapurnya. Sangat panas dan cocoklah untuk berfoto - foto. Akses cukup mudah sekitar 30 menit dari jembatan suramadu;Positif
Bukit Jaddhih;Masuk mobil 20 ribu. Masuk orang 5 ribu per orang.;Positif
Bukit Jaddhih;Tempat masih baru, tempat yang bagus,nyaman juga,cuma masih dalam perbaikan dan pembentukan batu batu menjadi objek wisata,belum bisa maksimal kalo di nikmati sekarang,tapi perlu di kunjungi sebagai spot foto sangat keren;Positif
Bukit Jaddhih;"Masuk dr kampung sudah di Pungli..
Masuk ke Area di tarik bayar karcis 20K untuk mobil..
Terus pas parkir bayar lagi..
😃 …";Negatif
Bukit Jaddhih;Ga usah komen banyak-banyak, recommended banget, belum sempat explore semuanya karena keasyikan tidur anginnya sepoi-sepoi banget;Positif
Bukit Jaddhih;Tempatnya sebenarnya bagus eksotis, alami tapi msh blm dikelola dg maksimal msh ala kadarnya ..ya mungkin krn msh ada operasional pengambilan kapur atau hal lain...yg penting tempat wisata, masyarakat setempat hrs sd siap menerima tamu;Positif
Bukit Jaddhih;"one of the beautiful places to take pictures and relax.
Bekas tambang batu bata yg disulap menjadi tempat wisata";Positif
Bukit Jaddhih;"Bukit kapur. Waktu kesana bulan oktober panas banget. Dan berdebu banget. Masih ada perbaikan dan penyempurnaan sich. Cuma untuk debu kapurnya itu.....
Belum dikekola dgn baik. Untuk parkir aja hrs 2x bayar, belum dihitung lagi per orangnya. Sayang banget";Negatif
Bukit Jaddhih;Rute menuju lokasi mudah, tinggal lihat google maps. Jalannya juga lumayan bagus, bisa dilalui mobil & motor. …;Positif
Bukit Jaddhih;Tempatnya biasa aja sih, dan u know puanaaaaasssnya minta ampun. Kalo gamau gosong pake sunblock spf 50++ 2botol deh 🤣 jalan masuknya ga lebar, jalan desa gitu dimintain sumbangan seikhlasnya. Nah terus agak majuan dikit ada loketnya 1 …;Negatif
Bukit Jaddhih;"Instagramable tapi panas sih.
Karena memang area bukit kapur yak masih ada aktivitas tambang(?) Jadi mayan punya backsound khas :)) …";Positif
Bukit Jaddhih;Tempatnya lumayan bersih untuk kolamnya, tempatnya bagus buat ambil foto cuma panasnya luar biasa;Positif
Bukit Jaddhih;"Tukang karcis tidak ramah sekali. Tempat wisatanya tidak terawat. Kotor dan tandus, airnya jg keruh bgt.
Tidak rekomen bgt dech....";Negatif
Bukit Jaddhih;Objek wisata yg sangat sangat tidak terawat sekarang sdh tak sebagus dlu dn juga sepi pengunjung meskipun itu weekend pungli juga banyak disana tolong di berantas oknum² nakal yg mencari keuntungan disana..;Positif
Bukit Jaddhih;tempat yang Instagram able banget.  jangan datang siang ... panas dan berdebu.  sebaiknya pas menjelang sore.  belum terkoordinir dengan baik, kemarin sempet bayar parkirnya 2x ( yang satunya gak dikasih karcis ) …;Positif
Bukit Jaddhih;Pemandangan yang ditawarkan indah banget, tempatnya berangin, tapi banyak truk suka lalu lalang, tempat yang aslinya panas makin panas deh;Positif
Bukit Jaddhih;Tempat indah unk ambil foto, liburan keluarga, kerabat tpi siapkan masker dan baju panjang topi jaket, karena lumayan panas, pengalaman saya jgn mudah percaya org lain yg mengaku pengelola tempat tersebut karena banyak calo diluar saat memasuki temoat tersebut.;Positif
Bukit Jaddhih;Tempat cukup sepi saat weekday, dan jika weekend sebaliknya. Jalan dari gang masuk sampai ke dalam bukit cukup berpasir sehingga cukup susah dan berdebu jika mengendarai motor.;Negatif
Bukit Jaddhih;Tempat nya bagus, udara nya enak berangin, yang gatahan panas nya sama debu banget, karena masih banyak konstruksi goa pote nya. Dan banyak pekerja mengambil batu kapur nya.;Positif
Bukit Jaddhih;Kurang sip. . Pemerintah setempat harus mengelola tempat wisata biar lebih bagus untuk dikunjungi. . Perlu di tambah gazebo ataupun foodcourt biar bisa menjadi tempat bersantai;Positif
Bukit Jaddhih;Syang sekali tempatnya kurang terawat mungkin karena pandemi..;Negatif
Bukit Jaddhih;"Bukit Kapur Jaddih

Tempat ini sebenarnya hanya tempat pertambangan batu kapur namun entah kenapa …";Positif
Bukit Jaddhih;Bagus sekali..sayang jalan ke sana sempit dan tidak ada petunjuk arah yang pasti, orang di sanapun ditanya banyak yang tidak tahu..;Positif
Bukit Jaddhih;tempat yang sangat bagus, pemandangan bukit  yang indah dan cuaca yang mendukung meskipun panas tetapi udara nya sangat sejuk;Positif
Bukit Jaddhih;Tempat nya epik bagus untuk foto, tempat nya bersih, hanya saja akses jalannya kurang bagus.;Positif
Bukit Jaddhih;Tempat rekreasi dimadura yang lumayan dekat dengan Surabaya. Sebaiknya kalo kesini agak pagian karena tempat nya panas banget kalo uda agak siangan... Pemandangan nya lumayan, ini tempat bukit kapur yang di keruk dan dibentuk... Masuknya ngga bayar paling cuma bayar parkir mobil saja;Positif
Bukit Jaddhih;Mumpung ada acara di Bangkalan 2017 silam, sempatkan mampir ke Wisata Bukit Jaddhih. Entah penampakannya seperti apa di tahun 2021 ini. Overall tempatnya bagus;Positif
Bukit Jaddhih;Dari sisi pemandangannya bagus banget. Sayang aja fasilitasnya belum lengkap. Oh iya kalo kesana jangan lupa pake kacamata hitam. Haha. Kalau pas panas, waduh susah mau lihat, silau banget apalagi mostly putih2 kan jd makin silau di mata;Positif
Bukit Jaddhih;Perlu pemerintah untuk mengolah.. terlalu bnyak pungli dan butuh pengolahan.untuk pariwisata.. banyak proyek;Negatif
Bukit Jaddhih;Lumayan bagus, jalannya buruk. Tapi pemandangannya keren karena jarang terlihat.;Positif
Bukit Jaddhih;Lumayanlah buat foto2.. tapi pas kesana airnya gak ada.. jadi gk bisa naik prahu deh;Positif
Bukit Jaddhih;Tempat wisata yang cocok untuk foto-foto dengan pemandangan bukit kapur dan danau biru buatan. Harganya pas, cuma bayar untuk parkir saja. Di sana pun juga kolam renang yang bersih, ada juga perahu getek buat foto-foto ditengah danau biru. …;Positif
Bukit Jaddhih;"Pintu masuknya g keliatan tandanya, panas sekali,.... sedikit sekali tempat berteduh, jgn lupa bawa payung dan sunblock klo g kebiasaan panas,
Masuk pertama 20k …";Positif
Bukit Jaddhih;Bagus utk keseluruan tempatnya mantap cuma masuknya selalu bayar gk sekalian di pintu utama.....;Positif
Bukit Jaddhih;"Walau agak jauh tapi worth it kok.
Tiket untuk motor 10000. Lalu tiket masuk per orang 5000";Positif
Bukit Jaddhih;Bukit buatan yg keren abiisss cocok buat hangout bareng temen .. view ny sangat indah ..;Positif
Bukit Jaddhih;rekomended kalo lagi ke madura, cucok buat potopoto, hatihati cuaca sangat panas kalo sedang cerah, airnya biruuuu banget, masih merupakan tambang aktif jadi berisik suarasuara mesin, ada kolam renang dan ada gua juga, tempat pilihan karena terhitung dekat ddari surabaya, berbekal GPS dan feeling juga bisa nyampe dalam 40menit-an;Positif
Bukit Jaddhih;Awalnya tempat ini merupakan tempat penambangan batu kapur. Lebih baik kesini pada pagi hari atau sore. Diusahakan kesini naik mobil, kalaupun terpaksa naik motor harus rame-rame untuk menghindari tindak pembegalan. Tiket masuk lumayan murah.;Positif
Bukit Jaddhih;Objek wisata yg instagramable..bukit tmpt penambangan kapur putih ini letakny 30mnt dr bebek sinjai bangkalan dan 1.5jam dr kota surabaya..hati2 jln menuju ksini awas trjebak jln alternatif yg blm beraspal..dan sepi..disarankn untuk sll melewati jln yg beraspal pulng dan pergi;Positif
Bukit Jaddhih;Lokasinya bagus utk foto preweding maupun postweding. Sayang jalan menuju kesananya yg agak serem, banyak begal rumornya. Lbh baik menggunakan mobil bila kesana. Dan siapkan uang kecil krn banyak ditariki biaya masuk (alias pungli);Positif
Bukit Jaddhih;Tempat ini panas n berdebu jd jangan lupa topi, kacamata n masker... Tp panas yg kita rasakan terbayar dg pemandangan yg eksotis n instagramable;Positif
Bukit Jaddhih;Bukit kapur di daerah bangkalan madura. Akses jalan bisa melalui jembatan suramadu. Lumayan jauh dan jalanan masih sedikit sepi. Lebih baik rombongan dan siang hari. Pemandangannya bagus. Dan masih ada kegiatan penambangan di lokasi ini. …;Positif
Bukit Jaddhih;"Tempatnya unik, tapi sangat berdebu..
Kurang nyaman untuk berlama-lama atau bawa anak kecil ke sini.";Negatif
Bukit Jaddhih;Tempatnya bagus banget buat foto , instagramable banget , memang panas banget , harap dimaklumi memang dimadura cuacanya sangat terik banget , cuma mau cari tempat parkir muter2 kena tarif terus , kurang tau itu pungli / memang sistemnya sprti itu , jujur emang kurang puas banget dengan adanya yg seperri itu;Positif
Bukit Jaddhih;Saya sudah 2x kesini, memang dekat dengan rumah tapi jalannya belum terlalu baik saat masuk wilayah perkampungan, apalagi tiket masuknya, banyak sekali. Saya kaget sekali.semoga kedepan pengelolaanya lebih baik lagi, karena jarang sekali ada tempat wisata di bangkalan.;Negatif
Bukit Jaddhih;Bukit Kapur Jaddih namanya, lokasi yang sebelumnya dijadikan sebagai tempat penambangan ini sekarang menjadi salah satu obyek wisata baru yang cukup ramai dikujungi wisatawan. karena ditempat ini menyajikan pesona keindahan dan keunikan …;Positif
Bukit Jaddhih;Saya pernah kesini. Waktu itu musim hujan jadi jalannya ada beberapa titik yang becek. Dari jalan raya begitu belok masuk jalan menuju bukit udah dicegat sama oknum yg ngaku petugas tiket masuk, padahal menurut saya dia ga resmi. Tiap spot …;Negatif
Bukit Jaddhih;Suasana dan pemandangannya bagus, tetapi jalan menuju lokasi kurang baik;Positif
Bukit Jaddhih;"Wisata di bekas galian batu kapur yang masih tetap beraktifitas.
Bagus bila dikembangkan utk wisata daerah.
Kekurangannya adalah banyaknya pungutan sebelum menuju lokasi dengan alasan …";Positif
Bukit Jaddhih;Tempatnya tidak sebagus di foto, panas dan terik tetapi spot foto dengan angel pengambilan gambar yang bagus akan buat foto kayak di luar negeri;Positif
Bukit Jaddhih;Tempat wisata nya bagus tapi hati hati ada debu dari bukit kapur nya. Lebih baik kesini sore hari agar tidak panas. Tapi jalan masuk ke tempat wisata bergelombang, dekat kampung. Mohon diperbaiki akses jalannya.;Positif
Bukit Jaddhih;Sangat indah n nyaman.klo bisa di buat kaya di kota Petra Jordan.di bentuk rumah.biar lebih banyak yang datang.;Positif
Bukit Jaddhih;View nya bagus, tapi untuk cuacanya sangat panas. Saran jika mau kesini naik motor lebih baik bawa masker karena banyak debu dari truk tambang yg lewat. Dan semoga di kelola dengan resmi biar tidak ada pungutan liar untuk masuk ke lokasi ini. Karena dari pengalaman saya dan rombongan sampai harus adu mulut karena pungli nya;Positif
Bukit Jaddhih;Wisata yang indah buat di kunjungin. Tapi kalo kesini pas musim kemarau harus siap bawa masker. Karna debu dari truk yg lewat. Kalo terlanjurr ngga bawa disana ada yg jual harganya sekitar 5rb/2 pcs. Tempatnya lumayan gersang juga. …;Positif
Bukit Jaddhih;Tempatnya instagramable. Bagus buat selfi2. Cuma kalo siang terasa panas banget. Lebih baik kalo ke sana pake sun block, topi atau payung.  Sebaiknya pagi, atau sore sekalian.;Positif
Bukit Jaddhih;Katanya sedikir rawan terutama bagi pengunjung dg plat nmr luar daerah itu. Mungkin baiknya kesama bersama teman2 asli sana. Over all tempatnya bagus. Makin puncak bisa liat bangkalan dari atas;Positif
Bukit Jaddhih;Tempat bagus sayang belum didukung fasilitas jalan yg memadai dan pengelolaan yg baik.;Positif
Bukit Jaddhih;Tempatnya bagus. Bersih. Tp panas sekali. 2x ditarik tiket masuk.;Positif
Bukit Jaddhih;cocok buat hunting foto, kalo musim panas kesini jgn lupa bawa payung yaa;Positif
Bukit Jaddhih;Agak ngeri tempatnya terlalu banyak preman atau anak muda yang pungli minta2 uang ke pengunjung jika tidak di kasih marah2. Mohon pemerintah setempat bisa membuat tempat ini nyaman;Negatif
Bukit Jaddhih;SUBHANALLAH!, Perpaduan gunung kapur putih & awan birunya FANTASTIS! Kesini ga bakalan rugi krn banyak angel poto bisa kamu dapetin!;Positif
Bukit Jaddhih;Lokasi panas banget! Jangan lupa bawa kacamata hitam, payung, atau topi. Ada kolam renang yang cukup bersih dan fasilitas pendukung seperti kamar mandi (bilas) dan beberapa pedagang makanan ringan. Hati-hati banyak pungli, siapkan saja beberapa lembar uang pecahan kecil.;Negatif
Bukit Jaddhih;"Tempat bagus untuk berfoto..
Sayangnya belum dimaksimalkan pengelolaan lokasi wisatanya, jadi bayar biaya parkir berkali2 oleh warga";Positif
Bukit Jaddhih;Tempat liar, nggak terlalu panas,bukit tidak curam juga.bagus buat kemah atau berdua;Positif
Bukit Jaddhih;Datang saat pagi hari agar cuacanya masih segar;Positif
Bukit Jaddhih;Untuk tempat Bagus sih, terakhir kesana 4th yg lalu 😄 jadi skrg ga tau perkembangan terakhir gmn 😁 untuk akses jalan menuju kesana sih sudah bagus, cuma keamanan menuju sana yg harus benar2 diperhatikan. Rawan begal ☹️ untuk wisatawan dari …;Positif
Bukit Jaddhih;Bekas galian Tambang Kapur ini menjadi tempat yang menarik untuk di kunungi di Madura. Disarankan membawa Topi, Jaket dan Masker :D;Positif
Bukit Jaddhih;"baguus kereen tempatnya..
pernah kesini bareng keluarga, tempat wisata yang cukup unik di daerah madura";Positif
Bukit Jaddhih;Butuh komitmen semua pihak, wabil khusus desa setempat utk mengembangkan wisata ini. Klo sukses pasti desanya makmur;Positif
Bukit Jaddhih;Tempat yg bagus buat foto foto, tapi jangan lupa bawa masker sama topi ya kalau kesana.. jalannya berkelok kelok dan berdebu (pas kesana musim kemarau) karena daerah pergambangan.. cukup dengan lima ribu rupiah uda bisa poto poto sepuasnya 😍 …;Positif
Bukit Jaddhih;Tempatnya keren buat foto2, hanya panas dan masih ada pungli;Positif
Bukit Jaddhih;panas tapi cukup sejuk banyak angin..cuma sayang tiap masuk spot suruh bayar......ada,3 x tarikan suruh bayar;Negatif
Bukit Jaddhih;Kalau siang hari panasnya poll....di sarankan agak sore atau pagi sekali.....;Positif
Bukit Jaddhih;"Cukup melelahkan sih bisa ke bukit kapru ini 🥴
Sebab Map nya tidak sesuai dengan titik lokasi Wisata nya.. jadi buat Google agar data map di benerin lagi agar pengunjung baru tidak kesasar  sesuai titik jalan ke tempat wisata nya.. …";Negatif
Bukit Jaddhih;Cukup bagus untuk tempat spot foto. Fasilitas masih dalam tahap pengembangan. Sayangnya masih terlalu banyak pungli disini. Sebaiknya bawa orang asli madura hehe;Positif
Bukit Jaddhih;Airnya gak sesuai yang biasa biru kemaren coklat, banyak targetan di jalanan;Negatif
Bukit Jaddhih;Tempat penuh kenangan. Karena disinilah ku terakhir kali berkumpul dan berwisata dgn tempat kerja yg lama yaitu SDN Cangkringmalang 2... tempat yg istimewa, kealamiannya masih terjaga, sehingga terlihat indah;Positif
Bukit Jaddhih;Jangan sekali kali datang di musim kemarau. Berdebu dan tak mengenakkan;Negatif
Bukit Jaddhih;Tempat wisata bagus disarankan membawa payung atau masker penutup;Positif
Bukit Jaddhih;Sepertinya sekarang tdk ada pengelolaan.. Jd kotor kurang perawatan;Negatif
Bukit Jaddhih;"Lumayan murah
Masuk tiket mobil 25.000
Naik kapal 30.000 ( mas kapal nya ramah dan pinter jd fotografer)";Positif
Bukit Jaddhih;Bagus untuk spot foto. Terutama saat siang sampai sore hari.;Positif
Bukit Jaddhih;Tempat wisata yg eksotis walau panas nya minta ampun. Tapi banyak pos pembayaran yg bahkan terkadang agak maksa mintanya;Positif
Bukit Jaddhih;Tempat alami, bagus, tapi sayang setiap bergerak bayar, geser sedikit bayar, keamanan menuju tempat sangat rawan daerah kampung narkoba dan begal.;Positif
Bukit Jaddhih;Bayar masuk awal utk kendaraan 10rb (motor), terus pas masuk lokasi bayar lagi 5rb per orang;Negatif
Bukit Jaddhih;Tempatnya bagus. Model wisata alam. Tp sayang, sy datang pas musim kemarau. Debunya luar biasa. Siap-siap kaca mata dan masker. Disisi yg lain masih ada aktivitas penambangan. Debu muncul jg dari lalu lalang truk penambangan ini. Kl boleh kasih saran, penambangan diliburkan saat hari libur;Positif
Bukit Jaddhih;Memang untuk hunting foto. Bagus spot nya;Positif
Bukit Jaddhih;pemandangannya bagus, jalanannya mantap. masuknya murah.;Positif
Bukit Jaddhih;"Pungliiiiiii......
Lumayan sii banyak pungli...
Tempatnya ya udah bareng tuh sama truk2 ambil batu2, jalannya rusak, banyak …";Negatif
Bukit Jaddhih;Panas bgt, kurang terawat ya emang buat penambangan ya;Negatif
Bukit Jaddhih;Panorama oke.. tetapi sangat perlu dikelola dengan baik... Agar lebih nyaman untuk dikunjungi;Positif
Bukit Jaddhih;Tempat ini merupakan wisata alam dengan utamanya adalah menonjolkan Tebing Putih dari kapur dan pahatan yg unik pada tebingnya, seperti tebing breksi di Yogya dan seperti taman sari di Yogya;Positif
Bukit Jaddhih;Buatan manusia,sisa sisa pertambangan yg masih aktif,tetapi panoramanya exotis👍👍👍 …;Positif
Bukit Jaddhih;Kalau musim kemarau harus mikir dulu..buat ke sana.   .panas sama debunya yg gak kuat.....;Positif
Bukit Jaddhih;Bukit Kapur Jaddih atau lebih dikenal dengan nama Bukit Jaddih adalah sebuah tempat untuk penambangan batu kapur putih dan bukan tempat wisata tetapi saat ini banyak wisatawan yang berkunjung ke lokasi tersebut, dikarenakan pemandangannya …;Positif
Bukit Jaddhih;Fasilitas blm memadai...seperti kamar kecil (paling penting ) hanya tersedia disekitar kolam renang.(bawah)..itupun ga nampung jika musim liburan tiba...antrinya...minta ampun..tempat untuk beristirahat...ga ada...kecuali yg sewa  rumah …;Negatif
Bukit Jaddhih;Kotor...panas..sekedar memenuhi hasrat penasaran aja;Negatif
Bukit Jaddhih;Bukit Jaddih merupakan bukit yang terbentuk dari batuan kapur yang mulanya di tambang lalu berproses menjadi tempat wisata melalui kearifan warga lokal yang mengelola. Akses menuju tempat ini cukup mudah, karena jalan sudah beraspal hingga …;Positif
Bukit Jaddhih;View nya asyiiikkk.., unik..  Asal muasal dari bekas tambang batu kapur.. Panasx..., huufhh teriiik menggigit.., jd kalau kesana lagi musti pake sunblock tebal biar gk tambah gosong... Hehehe.. Mampir deh kalau jalan jalan ke pulau Madura ya gaess...;Positif
Bukit Jaddhih;salah satu tempat alternatif wisata bersama tmn atau keluarga, kl kesini wkt siang bolong pastikan mbawa topi dan kacamatabkrn panas dan ckp silau;Positif
Bukit Jaddhih;tempat wisata ini sangat bagus banyak tempat untuk berfoto2 bersama keluarga, teman dan juga pacar itupun klo punya pacar hehe, cmn pengelolaan nya masih kurang karena setiap tempat yang menjadi pusat untuk berfoto aja masih ada parkir liar …;Positif
Bukit Jaddhih;tempatnya sangat indah, banyak pekerja kapur yang melakukan tambang. ada danau nya juga. jalanya tanah dan harus berhati hati. biaya masuknya 5000 rupiah untuk 1 orang.;Positif
Bukit Jaddhih;"Yang suka offroad pasti seneng bawa motor ke naik ke atas bukit jeddih-bangkalan,  ada banyak banget jalur menuju atas, kalau buat cewek yang belum bener"" bisa bawa motor mending jangan 😁 jangan lupa bawa minum diatas nggak ada orang jualan sama sekali …";Positif
Bukit Jaddhih;View nya bagus... Cm sayang,akses masuk jalan msh jelek & masuk nya bnyk bayar...;Positif
Bukit Jaddhih;Asyik cuma waktu itu sepi ya karena masih ada corona tapi ya ada aja pengunjung;Positif
Bukit Jaddhih;Cukup indah, perpaduan alam dengan intruksi manusia. Cuma pelayanannya kurang.;Positif
Bukit Jaddhih;BUKIT JADDIH MADURA adalah bukit yang masih di jadikan lahan pengambilan kapurnya utk bahan bangunan. Jadi ketika kita di bukit JADDIH ini kita akan melihat juga aktifitas para penambang kapur lengkap dengan segala peralatannya termasuk …;Positif
Bukit Jaddhih;View bagus, sayang tidak dikelola dengan baik, cenderung tanpa ada pengelola;Positif
Bukit Jaddhih;Perlu bawa payung,sunscreen,pake sepatu dan baju lengan panjang;Positif
Bukit Jaddhih;Tempat nya bagus banget dan terlalu panas karna mu gkin dari gunung kapurnya;Positif
Bukit Jaddhih;Tempat nya nyaman banget sepanjang jalan mata dimanjakan dengan alam;Positif
Bukit Jaddhih;Udh 3x kesini, banyak spot foto. Tempatnya unik, namun akses jalannya gaenak bgt;Positif
Bukit Jaddhih;bukit jaddhih yg ada di madura ini memang wajib di kunjungi .. view yang menarik & instagramable banget .. untuk tiket masuk kalian cukup membayar 10rb per orang loh, murah banget untuk view sekeren ini. .;Positif
Bukit Jaddhih;Tempat yg indah lan layak untuk dikunjungi, akatetapi akses jalan yg cukup sulit;Positif
Bukit Jaddhih;Tempatnya bagus cuma kurang difasilitasi,kebanyakan pungli;Positif
Bukit Jaddhih;"tempat wisata bagus dengan view yang bagus, cuman masyarakat setempat banyak jd tukang palak.
sehingga pengunjung gak nyaman aja semua2 serba bayar";Positif
Bukit Jaddhih;Lokasi wisata dengan spot foto yang menarik, sayangnya petunjuk arah ke lokasi masih minim dan untuk lokasinya masih dalam proses pembangunan;Positif
Bukit Jaddhih;Ke bukit Jaddih hari rabu (hari kerja). naik mobil empat orang dari Surabaya ke Bangkalan, waktu tempuhnya cuma setengah jam-an lewat Suramadu. Harusnya gak lama. Tapi karena ikutin rute yang disarankan sama Google maps (rute terdekat), …;Positif
Bukit Jaddhih;"Ngak sesuai dengan gambar
karcisnya dobel-dobel
Pelayananya ngak sesuai
Jalanya berdebu";Negatif
Bukit Jaddhih;spot menarik untuk foto. Perlu dikelola dan didesain lebih profesional lagi.;Positif
Bukit Jaddhih;Sebenarnya Bukit Jaddih memiliki kemiripan dengan Garuda Wisnu Kencana (GWK), meski tidak apple to apple. Perlu sentuhan lagi agar eye catching dan lebih instagramable serta wisatawan ingin kembali berkunjung. Banyak yang perlu dibenahi. …;Positif
Bukit Jaddhih;Nggak bisa maksimal fotonya karena tmpatnya panaaaaassss banget tersorot sinar matahari langsung😎😎 …;Negatif
Bukit Jaddhih;Tidak memuaskan,pungli 2kali,sampek dalam masih d mintak,i uang lagi;Negatif
Bukit Jaddhih;"Menju lokasi jalanya kecil,dan begitu mendekati lokasi jalan bergelombang dan berdebu.tp tempatnya keren.
Jika ingin berkunjung ke tempat ini jangan lupa bawa masker.";Positif
Bukit Jaddhih;Perjalan menuju bukit Jaddih - Madura masih kurang akses nya . . Melewati jalanan2 desa yg sempit dan jalanan nya masih banyak yg kurang bagus... Lumayan memakan waktu yg.lama tetapi setelah liat tempat nya bakalan terbayar perjalan jauh …;Positif
Bukit Jaddhih;Bekas pertambangan kapur yang eksotis. Cocok buat yang punya hobby fotografi. Disarankan untuk datang pada pagi hari atau sore hari, siang panasnya minta ampun 😁 …;Positif
Bukit Jaddhih;Sangat menarik..;Positif
Bukit Jaddhih;Bekas tambang yang tertata untuk pariwisata, dan untuk masuknya hrus bayar sampai 3 kali untuk masuk ke sini;Positif
Bukit Jaddhih;Keren tempatnya cuma belum teroganisir dengan baik, banyak banget bayarnya di awal bayar 5k masuk lagi bayar 10k trus parkir bayar 10k lagi. Siapin uang 25 ya gaes;Positif
