user;lokasi;sentimen;ulasan
Umar Fadil;Bukit Jaddhih;Positif;Alhamdulillah, pertamakali kesini tahun 2015. Ternyata setelah 3 tahun ngga ke Bukit Jaddih sudah banyak sekali yang berubah. Banyao spot-spot baru yang menarik untuk di explore. Juga kawasan eisata sudah diperbaiki. …
Fian Risdia;Bukit Jaddhih;Positif;Tempat wisata alam yang sangat indah, unik dan menarik. Terdapat fasilitas parkir, warung, dan toilet. Disini juga ada kolam renang.
SALMAN;Bukit Jaddhih;Positif;"Kereeeen.
Begitu sampai di sini, atmosfernya serasa di pegunungan China. ?? …"
AGOEZ GIPOENK69;Bukit Jaddhih;Positif;Tempat Wisata Yang Sangat BAGUS dan INDAH,,,cuma ada 1 kendala yang membuat saya & teman2 gak bakalan datang kesitu lagi yaitu P.U.N.G.L.I dan akses jalan yang PARAHnya sangat W.O.W...
Erron Narendro;Bukit Jaddhih;Positif;Tempat bekas penambangan batu putih view bagus buat foto2 sangat artistik. Ada kolam renang dan danau
Robby Handoko;Bukit Jaddhih;Positif;Bagus..harusnya  d kelola lebih serius lagi..terutama jalan menuju lokasi..aset suatu daerah perlu pemerintah turun tangan..???? …
Febrianti Puspita;Bukit Jaddhih;Positif;Kalo di Jogja namanya bukit breksi. Tapi disini lebih alami. Walau dimana-dimana bukit batu, tanpa pepohonan yang panasnya luar biasa. Pemandangan eksotis, serasa ada di luar negeri. Ada kolamnya juga yang kata driver dari Surabaya memang …
Bang Yazid;Bukit Jaddhih;Positif;Pemandangan nya sangat bagus walau hasil penambangan. Tetapi di buat menjadi lokasi wisata menawan dengan danau hasil galian dan juga ada kolam renangnya
Uswatun Hasanah;Bukit Jaddhih;Positif;Gersang hanya ada bukit kapur,bentuknya bgs jg sih bks diambilin trs batunya
indo alfa;Bukit Jaddhih;Positif;sangat indah, cocok buat yg mau healing utk lihat pemandangan, banyak tempat untuk foto2 juga ???????????? …
Nur Rochma;Bukit Jaddhih;Positif;Wisata alam yang mengandalkan lokasi penambangan kapur. Ada danau dengan air berwarna hijau. Pengunjung bisa mengelilingi danau dengan perahu. Tiket masuk Rp 5.000. Naik perahu Rp 5.000.
Desy Agustina;Bukit Jaddhih;Negatif;Hawa panas luar biasa. Naik kapal 5000\orang. Uang masuk 25.000\mobil
Leo Agung;Bukit Jaddhih;Positif;Tempat penambangan batu kapur di madura yang menjadi hitz sebagai spot foto.Mau berbagi pengalaman jika sudah sampai dekat sana tanya dengan warga sekitar.Pada saya saat kesana saya salah masuk melalui pintu para penambang kapur dan dalam …
dida maulida;Bukit Jaddhih;Positif;Tempat yang direkomendasikan untuk dikunjungi saat liburan sekeluarga. Ada wahana kendara kuda dan perahu apung. Pemandangan indah dengan trek yang menantang.
fasbir hidayat;Bukit Jaddhih;Positif;"keren.
sayang Sepertinya kurang terawat."
Askar Bachtiar;Bukit Jaddhih;Negatif;Instragrameble.... Tp banyak pungli (karna hampir tiap portal dikenakan biaya masuk 20rb)
Imam Warosyin;Bukit Jaddhih;Positif;Betul panorama yg mengagumkan ciptaan Illahi, yg di Eksplorasi dg multi konsep ,ekonomi pertambangan & nilai artistik sebuah wisata
Hyun Uy;Bukit Jaddhih;Negatif;"karcis nya 2 x mahal potongan kaya preman smua
makanya sepi 0engunjung"
Sintaa Um;Bukit Jaddhih;Positif;Menurutku sih tempatnya bagus ya, cuman cuacanya aja yg panas. Kalo untuk tiket masuk dan  parkir kayaknya beda. Tapi yang pengen kesini boleh banget, jaraknya juga lumayan sih dari jalan raya ke tempat ini.
M. Fauzi Setyadi;Bukit Jaddhih;Positif;Wisata bekas penambangan batugamping, dengan sedikit vegetasi. Lokasi sudah dibuat aesthetic, namun tetap saja disekitarnya masih banyak penambangan sehingga banyak debu
Fauzan Ramayana;Bukit Jaddhih;Negatif;Kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau, danau, kolam menjadi kering. Pengunjung juga tidak ramai.
Slamet Riyadi (JP-Cards);Bukit Jaddhih;Positif;Bagus kok. Yg penting angle dan kameranya juga mendukung. Tebing breksinya Madura ini.
Fauza Rahman;Bukit Jaddhih;Positif;Untuk pemandangan, Subhanallah indahnya, Saya baru tahu kalau itu ternyata tambang Batu, jadi hati hati ketika memasuki wilayahnya, karna Ada kendaraan proyek lalu lalang. Yg membuat saya kecewa adalah pengelolaannya yang semrawut, …
Novrizal Herdananto;Bukit Jaddhih;Positif;"Tambang batu kapur yang dijadikan tempat wisata.
terdapat kolam air untuk berwisata perahu dan ada juga pemandian untuk berenang2. …"
Sylvia Damanyati;Bukit Jaddhih;Positif;Tempatnya keren tapi fasilitas utk turis ga ada jd lebih k tambang kapur biasa
Yongki Susanto;Bukit Jaddhih;Positif;Place for take a picture only, bukit yang di eksploitasi diambil batu kapurnya. Sangat panas dan cocoklah untuk berfoto - foto. Akses cukup mudah sekitar 30 menit dari jembatan suramadu
Andrie Oskardinata;Bukit Jaddhih;Positif;Masuk mobil 20 ribu. Masuk orang 5 ribu per orang.
Anak'e wong tani;Bukit Jaddhih;Positif;Tempat masih baru, tempat yang bagus,nyaman juga,cuma masih dalam perbaikan dan pembentukan batu batu menjadi objek wisata,belum bisa maksimal kalo di nikmati sekarang,tapi perlu di kunjungi sebagai spot foto sangat keren
hamka Hamka;Bukit Jaddhih;Negatif;"Masuk dr kampung sudah di Pungli..
Masuk ke Area di tarik bayar karcis 20K untuk mobil..
Terus pas parkir bayar lagi..
?? …"
Rochma Ngaliyah;Bukit Jaddhih;Positif;Ga usah komen banyak-banyak, recommended banget, belum sempat explore semuanya karena keasyikan tidur anginnya sepoi-sepoi banget
Raden Djati kusuma;Bukit Jaddhih;Positif;Tempatnya sebenarnya bagus eksotis, alami tapi msh blm dikelola dg maksimal msh ala kadarnya ..ya mungkin krn msh ada operasional pengambilan kapur atau hal lain...yg penting tempat wisata, masyarakat setempat hrs sd siap menerima tamu
Halim Asyari;Bukit Jaddhih;Positif;"one of the beautiful places to take pictures and relax.
Bekas tambang batu bata yg disulap menjadi tempat wisata"
Imot Iwink;Bukit Jaddhih;Negatif;"Bukit kapur. Waktu kesana bulan oktober panas banget. Dan berdebu banget. Masih ada perbaikan dan penyempurnaan sich. Cuma untuk debu kapurnya itu.....
Belum dikekola dgn baik. Untuk parkir aja hrs 2x bayar, belum dihitung lagi per orangnya. Sayang banget"
A. Rais Shidiq;Bukit Jaddhih;Positif;Rute menuju lokasi mudah, tinggal lihat google maps. Jalannya juga lumayan bagus, bisa dilalui mobil & motor. …
Rere Ds;Bukit Jaddhih;Negatif;Tempatnya biasa aja sih, dan u know puanaaaaasssnya minta ampun. Kalo gamau gosong pake sunblock spf 50++ 2botol deh ?? jalan masuknya ga lebar, jalan desa gitu dimintain sumbangan seikhlasnya. Nah terus agak majuan dikit ada loketnya 1 …
Meylysa Putri;Bukit Jaddhih;Positif;"Instagramable tapi panas sih.
Karena memang area bukit kapur yak masih ada aktivitas tambang(?) Jadi mayan punya backsound khas :)) …"
Danish Kurniawidi;Bukit Jaddhih;Positif;Tempatnya lumayan bersih untuk kolamnya, tempatnya bagus buat ambil foto cuma panasnya luar biasa
Rochmah irawati81;Bukit Jaddhih;Negatif;"Tukang karcis tidak ramah sekali. Tempat wisatanya tidak terawat. Kotor dan tandus, airnya jg keruh bgt.
Tidak rekomen bgt dech...."
Robie Jaya;Bukit Jaddhih;Positif;Objek wisata yg sangat sangat tidak terawat sekarang sdh tak sebagus dlu dn juga sepi pengunjung meskipun itu weekend pungli juga banyak disana tolong di berantas oknum² nakal yg mencari keuntungan disana..
Rizki Utomo;Bukit Jaddhih;Positif;tempat yang Instagram able banget.  jangan datang siang ... panas dan berdebu.  sebaiknya pas menjelang sore.  belum terkoordinir dengan baik, kemarin sempet bayar parkirnya 2x ( yang satunya gak dikasih karcis ) …
Affan Rachmadi Mahmud;Bukit Jaddhih;Positif;Pemandangan yang ditawarkan indah banget, tempatnya berangin, tapi banyak truk suka lalu lalang, tempat yang aslinya panas makin panas deh
Petani Milenium;Bukit Jaddhih;Positif;Tempat indah unk ambil foto, liburan keluarga, kerabat tpi siapkan masker dan baju panjang topi jaket, karena lumayan panas, pengalaman saya jgn mudah percaya org lain yg mengaku pengelola tempat tersebut karena banyak calo diluar saat memasuki temoat tersebut.
Kiya;Bukit Jaddhih;Negatif;Tempat cukup sepi saat weekday, dan jika weekend sebaliknya. Jalan dari gang masuk sampai ke dalam bukit cukup berpasir sehingga cukup susah dan berdebu jika mengendarai motor.
sitta Andari;Bukit Jaddhih;Positif;Tempat nya bagus, udara nya enak berangin, yang gatahan panas nya sama debu banget, karena masih banyak konstruksi goa pote nya. Dan banyak pekerja mengambil batu kapur nya.
MOHAMMAD LORA KHOLIL;Bukit Jaddhih;Positif;Kurang sip. . Pemerintah setempat harus mengelola tempat wisata biar lebih bagus untuk dikunjungi. . Perlu di tambah gazebo ataupun foodcourt biar bisa menjadi tempat bersantai
irene alluna octaviani;Bukit Jaddhih;Negatif;Syang sekali tempatnya kurang terawat mungkin karena pandemi..
Louis N S;Bukit Jaddhih;Positif;"Bukit Kapur Jaddih

Tempat ini sebenarnya hanya tempat pertambangan batu kapur namun entah kenapa …"
Budiono Santoso;Bukit Jaddhih;Positif;Bagus sekali..sayang jalan ke sana sempit dan tidak ada petunjuk arah yang pasti, orang di sanapun ditanya banyak yang tidak tahu..
Allya Nurlaily Inayya;Bukit Jaddhih;Positif;tempat yang sangat bagus, pemandangan bukit  yang indah dan cuaca yang mendukung meskipun panas tetapi udara nya sangat sejuk
Foni Handayani;Bukit Jaddhih;Positif;Tempat nya epik bagus untuk foto, tempat nya bersih, hanya saja akses jalannya kurang bagus.
Ima Virgianti;Bukit Jaddhih;Positif;Tempat rekreasi dimadura yang lumayan dekat dengan Surabaya. Sebaiknya kalo kesini agak pagian karena tempat nya panas banget kalo uda agak siangan... Pemandangan nya lumayan, ini tempat bukit kapur yang di keruk dan dibentuk... Masuknya ngga bayar paling cuma bayar parkir mobil saja
Al Katras;Bukit Jaddhih;Positif;Mumpung ada acara di Bangkalan 2017 silam, sempatkan mampir ke Wisata Bukit Jaddhih. Entah penampakannya seperti apa di tahun 2021 ini. Overall tempatnya bagus
Anisa S.;Bukit Jaddhih;Positif;Dari sisi pemandangannya bagus banget. Sayang aja fasilitasnya belum lengkap. Oh iya kalo kesana jangan lupa pake kacamata hitam. Haha. Kalau pas panas, waduh susah mau lihat, silau banget apalagi mostly putih2 kan jd makin silau di mata
Dydit Ardyansyah;Bukit Jaddhih;Negatif;Perlu pemerintah untuk mengolah.. terlalu bnyak pungli dan butuh pengolahan.untuk pariwisata.. banyak proyek
Sefri;Bukit Jaddhih;Positif;Lumayan bagus, jalannya buruk. Tapi pemandangannya keren karena jarang terlihat.
iecha;Bukit Jaddhih;Positif;Lumayanlah buat foto2.. tapi pas kesana airnya gak ada.. jadi gk bisa naik prahu deh
iftitah nadhiroh;Bukit Jaddhih;Positif;Tempat wisata yang cocok untuk foto-foto dengan pemandangan bukit kapur dan danau biru buatan. Harganya pas, cuma bayar untuk parkir saja. Di sana pun juga kolam renang yang bersih, ada juga perahu getek buat foto-foto ditengah danau biru. …
Oditio Arizal;Bukit Jaddhih;Positif;"Pintu masuknya g keliatan tandanya, panas sekali,.... sedikit sekali tempat berteduh, jgn lupa bawa payung dan sunblock klo g kebiasaan panas,
Masuk pertama 20k …"
Jeffry Pieter;Bukit Jaddhih;Positif;Bagus utk keseluruan tempatnya mantap cuma masuknya selalu bayar gk sekalian di pintu utama.....
Grace Fransiska;Bukit Jaddhih;Positif;"Walau agak jauh tapi worth it kok.
Tiket untuk motor 10000. Lalu tiket masuk per orang 5000"
cici adipta;Bukit Jaddhih;Positif;Bukit buatan yg keren abiisss cocok buat hangout bareng temen .. view ny sangat indah ..
Bidya Nila Giwiwardani;Bukit Jaddhih;Positif;rekomended kalo lagi ke madura, cucok buat potopoto, hatihati cuaca sangat panas kalo sedang cerah, airnya biruuuu banget, masih merupakan tambang aktif jadi berisik suarasuara mesin, ada kolam renang dan ada gua juga, tempat pilihan karena terhitung dekat ddari surabaya, berbekal GPS dan feeling juga bisa nyampe dalam 40menit-an
Andry Setiawan;Bukit Jaddhih;Positif;Awalnya tempat ini merupakan tempat penambangan batu kapur. Lebih baik kesini pada pagi hari atau sore. Diusahakan kesini naik mobil, kalaupun terpaksa naik motor harus rame-rame untuk menghindari tindak pembegalan. Tiket masuk lumayan murah.
Aida Syukriyah;Bukit Jaddhih;Positif;Objek wisata yg instagramable..bukit tmpt penambangan kapur putih ini letakny 30mnt dr bebek sinjai bangkalan dan 1.5jam dr kota surabaya..hati2 jln menuju ksini awas trjebak jln alternatif yg blm beraspal..dan sepi..disarankn untuk sll melewati jln yg beraspal pulng dan pergi
pradyka intan;Bukit Jaddhih;Positif;Lokasinya bagus utk foto preweding maupun postweding. Sayang jalan menuju kesananya yg agak serem, banyak begal rumornya. Lbh baik menggunakan mobil bila kesana. Dan siapkan uang kecil krn banyak ditariki biaya masuk (alias pungli)
Ani Rasyadi;Bukit Jaddhih;Positif;Tempat ini panas n berdebu jd jangan lupa topi, kacamata n masker... Tp panas yg kita rasakan terbayar dg pemandangan yg eksotis n instagramable
yudhi ciu;Bukit Jaddhih;Positif;Bukit kapur di daerah bangkalan madura. Akses jalan bisa melalui jembatan suramadu. Lumayan jauh dan jalanan masih sedikit sepi. Lebih baik rombongan dan siang hari. Pemandangannya bagus. Dan masih ada kegiatan penambangan di lokasi ini. …
Rizano Antonio Sumampouw;Bukit Jaddhih;Negatif;"Tempatnya unik, tapi sangat berdebu..
Kurang nyaman untuk berlama-lama atau bawa anak kecil ke sini."
Ruvah 14;Bukit Jaddhih;Positif;Tempatnya bagus banget buat foto , instagramable banget , memang panas banget , harap dimaklumi memang dimadura cuacanya sangat terik banget , cuma mau cari tempat parkir muter2 kena tarif terus , kurang tau itu pungli / memang sistemnya sprti itu , jujur emang kurang puas banget dengan adanya yg seperri itu
indra tigortigor;Bukit Jaddhih;Negatif;Saya sudah 2x kesini, memang dekat dengan rumah tapi jalannya belum terlalu baik saat masuk wilayah perkampungan, apalagi tiket masuknya, banyak sekali. Saya kaget sekali.semoga kedepan pengelolaanya lebih baik lagi, karena jarang sekali ada tempat wisata di bangkalan.
Hasan Kusjayadi Istiawan;Bukit Jaddhih;Positif;Bukit Kapur Jaddih namanya, lokasi yang sebelumnya dijadikan sebagai tempat penambangan ini sekarang menjadi salah satu obyek wisata baru yang cukup ramai dikujungi wisatawan. karena ditempat ini menyajikan pesona keindahan dan keunikan …
Bagus Tamtomo Hadi;Bukit Jaddhih;Negatif;Saya pernah kesini. Waktu itu musim hujan jadi jalannya ada beberapa titik yang becek. Dari jalan raya begitu belok masuk jalan menuju bukit udah dicegat sama oknum yg ngaku petugas tiket masuk, padahal menurut saya dia ga resmi. Tiap spot …
Fadiah Ula;Bukit Jaddhih;Positif;Suasana dan pemandangannya bagus, tetapi jalan menuju lokasi kurang baik
Jason geniusman;Bukit Jaddhih;Positif;"Wisata di bekas galian batu kapur yang masih tetap beraktifitas.
Bagus bila dikembangkan utk wisata daerah.
Kekurangannya adalah banyaknya pungutan sebelum menuju lokasi dengan alasan …"
iignatius Michael;Bukit Jaddhih;Positif;Tempatnya tidak sebagus di foto, panas dan terik tetapi spot foto dengan angel pengambilan gambar yang bagus akan buat foto kayak di luar negeri
Artika Widiastuti;Bukit Jaddhih;Positif;Tempat wisata nya bagus tapi hati hati ada debu dari bukit kapur nya. Lebih baik kesini sore hari agar tidak panas. Tapi jalan masuk ke tempat wisata bergelombang, dekat kampung. Mohon diperbaiki akses jalannya.
Bagus Prayogi;Bukit Jaddhih;Positif;Sangat indah n nyaman.klo bisa di buat kaya di kota Petra Jordan.di bentuk rumah.biar lebih banyak yang datang.
Penikmat Kopi;Bukit Jaddhih;Positif;View nya bagus, tapi untuk cuacanya sangat panas. Saran jika mau kesini naik motor lebih baik bawa masker karena banyak debu dari truk tambang yg lewat. Dan semoga di kelola dengan resmi biar tidak ada pungutan liar untuk masuk ke lokasi ini. Karena dari pengalaman saya dan rombongan sampai harus adu mulut karena pungli nya
nova nanda;Bukit Jaddhih;Positif;Wisata yang indah buat di kunjungin. Tapi kalo kesini pas musim kemarau harus siap bawa masker. Karna debu dari truk yg lewat. Kalo terlanjurr ngga bawa disana ada yg jual harganya sekitar 5rb/2 pcs. Tempatnya lumayan gersang juga. …
bunda sugi;Bukit Jaddhih;Positif;Tempatnya instagramable. Bagus buat selfi2. Cuma kalo siang terasa panas banget. Lebih baik kalo ke sana pake sun block, topi atau payung.  Sebaiknya pagi, atau sore sekalian.
C Putri;Bukit Jaddhih;Positif;Katanya sedikir rawan terutama bagi pengunjung dg plat nmr luar daerah itu. Mungkin baiknya kesama bersama teman2 asli sana. Over all tempatnya bagus. Makin puncak bisa liat bangkalan dari atas
Sistiyono MPH;Bukit Jaddhih;Positif;Tempat bagus sayang belum didukung fasilitas jalan yg memadai dan pengelolaan yg baik.
wendhi hananto;Bukit Jaddhih;Positif;Tempatnya bagus. Bersih. Tp panas sekali. 2x ditarik tiket masuk.
khusnul awaliyah;Bukit Jaddhih;Positif;cocok buat hunting foto, kalo musim panas kesini jgn lupa bawa payung yaa
Fitriya Ros;Bukit Jaddhih;Negatif;Agak ngeri tempatnya terlalu banyak preman atau anak muda yang pungli minta2 uang ke pengunjung jika tidak di kasih marah2. Mohon pemerintah setempat bisa membuat tempat ini nyaman
Ibnu Darmana;Bukit Jaddhih;Positif;SUBHANALLAH!, Perpaduan gunung kapur putih & awan birunya FANTASTIS! Kesini ga bakalan rugi krn banyak angel poto bisa kamu dapetin!
Imaniar Hanifa;Bukit Jaddhih;Negatif;Lokasi panas banget! Jangan lupa bawa kacamata hitam, payung, atau topi. Ada kolam renang yang cukup bersih dan fasilitas pendukung seperti kamar mandi (bilas) dan beberapa pedagang makanan ringan. Hati-hati banyak pungli, siapkan saja beberapa lembar uang pecahan kecil.
Christopher Wimba;Bukit Jaddhih;Positif;"Tempat bagus untuk berfoto..
Sayangnya belum dimaksimalkan pengelolaan lokasi wisatanya, jadi bayar biaya parkir berkali2 oleh warga"
Andi Budi anto;Bukit Jaddhih;Positif;Tempat liar, nggak terlalu panas,bukit tidak curam juga.bagus buat kemah atau berdua
Dokoh Ngayab;Bukit Jaddhih;Positif;Datang saat pagi hari agar cuacanya masih segar
Surya Puji Utami;Bukit Jaddhih;Positif;Untuk tempat Bagus sih, terakhir kesana 4th yg lalu ?? jadi skrg ga tau perkembangan terakhir gmn ?? untuk akses jalan menuju kesana sih sudah bagus, cuma keamanan menuju sana yg harus benar2 diperhatikan. Rawan begal ?? untuk wisatawan dari …
Muhammad Alfariqi;Bukit Jaddhih;Positif;Bekas galian Tambang Kapur ini menjadi tempat yang menarik untuk di kunungi di Madura. Disarankan membawa Topi, Jaket dan Masker :D
Zalizka Shanny;Bukit Jaddhih;Positif;"baguus kereen tempatnya..
pernah kesini bareng keluarga, tempat wisata yang cukup unik di daerah madura"
Abdul Muin;Bukit Jaddhih;Positif;Butuh komitmen semua pihak, wabil khusus desa setempat utk mengembangkan wisata ini. Klo sukses pasti desanya makmur
naylizulfa;Bukit Jaddhih;Positif;Tempat yg bagus buat foto foto, tapi jangan lupa bawa masker sama topi ya kalau kesana.. jalannya berkelok kelok dan berdebu (pas kesana musim kemarau) karena daerah pergambangan.. cukup dengan lima ribu rupiah uda bisa poto poto sepuasnya ?? …
MONDAY RIDER;Bukit Jaddhih;Positif;Tempatnya keren buat foto2, hanya panas dan masih ada pungli
Pras Setyo;Bukit Jaddhih;Negatif;panas tapi cukup sejuk banyak angin..cuma sayang tiap masuk spot suruh bayar......ada,3 x tarikan suruh bayar
faisal prijadi;Bukit Jaddhih;Positif;Kalau siang hari panasnya poll....di sarankan agak sore atau pagi sekali.....
nadiamega taliaputri;Bukit Jaddhih;Negatif;"Cukup melelahkan sih bisa ke bukit kapru ini ??
Sebab Map nya tidak sesuai dengan titik lokasi Wisata nya.. jadi buat Google agar data map di benerin lagi agar pengunjung baru tidak kesasar  sesuai titik jalan ke tempat wisata nya.. …"
M. Muharrom Maghroby;Bukit Jaddhih;Positif;Cukup bagus untuk tempat spot foto. Fasilitas masih dalam tahap pengembangan. Sayangnya masih terlalu banyak pungli disini. Sebaiknya bawa orang asli madura hehe
Vika Saraswati;Bukit Jaddhih;Negatif;Airnya gak sesuai yang biasa biru kemaren coklat, banyak targetan di jalanan
Ani Infianah;Bukit Jaddhih;Positif;Tempat penuh kenangan. Karena disinilah ku terakhir kali berkumpul dan berwisata dgn tempat kerja yg lama yaitu SDN Cangkringmalang 2... tempat yg istimewa, kealamiannya masih terjaga, sehingga terlihat indah
ahmad banser;Bukit Jaddhih;Negatif;Jangan sekali kali datang di musim kemarau. Berdebu dan tak mengenakkan
Agustia Dwi;Bukit Jaddhih;Positif;Tempat wisata bagus disarankan membawa payung atau masker penutup
Brian Budhi;Bukit Jaddhih;Negatif;Sepertinya sekarang tdk ada pengelolaan.. Jd kotor kurang perawatan
Deri Prihandoko;Bukit Jaddhih;Positif;"Lumayan murah
Masuk tiket mobil 25.000
Naik kapal 30.000 ( mas kapal nya ramah dan pinter jd fotografer)"
Kikik Corps;Bukit Jaddhih;Positif;Bagus untuk spot foto. Terutama saat siang sampai sore hari.
Baginda Nainggolan;Bukit Jaddhih;Positif;Tempat wisata yg eksotis walau panas nya minta ampun. Tapi banyak pos pembayaran yg bahkan terkadang agak maksa mintanya
juni hadi;Bukit Jaddhih;Positif;Tempat alami, bagus, tapi sayang setiap bergerak bayar, geser sedikit bayar, keamanan menuju tempat sangat rawan daerah kampung narkoba dan begal.
Irine MAH;Bukit Jaddhih;Negatif;Bayar masuk awal utk kendaraan 10rb (motor), terus pas masuk lokasi bayar lagi 5rb per orang
AgungBN Chanel;Bukit Jaddhih;Positif;Tempatnya bagus. Model wisata alam. Tp sayang, sy datang pas musim kemarau. Debunya luar biasa. Siap-siap kaca mata dan masker. Disisi yg lain masih ada aktivitas penambangan. Debu muncul jg dari lalu lalang truk penambangan ini. Kl boleh kasih saran, penambangan diliburkan saat hari libur
Kartika Dyah;Bukit Jaddhih;Positif;Memang untuk hunting foto. Bagus spot nya
fichy lubis;Bukit Jaddhih;Positif;pemandangannya bagus, jalanannya mantap. masuknya murah.
N.H Kim;Bukit Jaddhih;Negatif;"Pungliiiiiii......
Lumayan sii banyak pungli...
Tempatnya ya udah bareng tuh sama truk2 ambil batu2, jalannya rusak, banyak …"
Hamba Allah;Bukit Jaddhih;Negatif;Panas bgt, kurang terawat ya emang buat penambangan ya
Den roro;Bukit Jaddhih;Positif;Panorama oke.. tetapi sangat perlu dikelola dengan baik... Agar lebih nyaman untuk dikunjungi
Dewi Handayani;Bukit Jaddhih;Positif;Tempat ini merupakan wisata alam dengan utamanya adalah menonjolkan Tebing Putih dari kapur dan pahatan yg unik pada tebingnya, seperti tebing breksi di Yogya dan seperti taman sari di Yogya
Om Hilmi;Bukit Jaddhih;Positif;Buatan manusia,sisa sisa pertambangan yg masih aktif,tetapi panoramanya exotis?????? …
Ahmad Zainuri;Bukit Jaddhih;Positif;Kalau musim kemarau harus mikir dulu..buat ke sana.   .panas sama debunya yg gak kuat.....
M. Idzha Adhitya Ranius;Bukit Jaddhih;Positif;Bukit Kapur Jaddih atau lebih dikenal dengan nama Bukit Jaddih adalah sebuah tempat untuk penambangan batu kapur putih dan bukan tempat wisata tetapi saat ini banyak wisatawan yang berkunjung ke lokasi tersebut, dikarenakan pemandangannya …
Wiwik Sugiyati;Bukit Jaddhih;Negatif;Fasilitas blm memadai...seperti kamar kecil (paling penting ) hanya tersedia disekitar kolam renang.(bawah)..itupun ga nampung jika musim liburan tiba...antrinya...minta ampun..tempat untuk beristirahat...ga ada...kecuali yg sewa  rumah …
Muhamat Cahyo;Bukit Jaddhih;Negatif;Kotor...panas..sekedar memenuhi hasrat penasaran aja
Achmad Riyadi;Bukit Jaddhih;Positif;Bukit Jaddih merupakan bukit yang terbentuk dari batuan kapur yang mulanya di tambang lalu berproses menjadi tempat wisata melalui kearifan warga lokal yang mengelola. Akses menuju tempat ini cukup mudah, karena jalan sudah beraspal hingga …
titish Irawan;Bukit Jaddhih;Positif;View nya asyiiikkk.., unik..  Asal muasal dari bekas tambang batu kapur.. Panasx..., huufhh teriiik menggigit.., jd kalau kesana lagi musti pake sunblock tebal biar gk tambah gosong... Hehehe.. Mampir deh kalau jalan jalan ke pulau Madura ya gaess...
Zipank;Bukit Jaddhih;Positif;salah satu tempat alternatif wisata bersama tmn atau keluarga, kl kesini wkt siang bolong pastikan mbawa topi dan kacamatabkrn panas dan ckp silau
Muhammad SyaihYudi;Bukit Jaddhih;Positif;tempat wisata ini sangat bagus banyak tempat untuk berfoto2 bersama keluarga, teman dan juga pacar itupun klo punya pacar hehe, cmn pengelolaan nya masih kurang karena setiap tempat yang menjadi pusat untuk berfoto aja masih ada parkir liar …
Hammada Syarif;Bukit Jaddhih;Positif;tempatnya sangat indah, banyak pekerja kapur yang melakukan tambang. ada danau nya juga. jalanya tanah dan harus berhati hati. biaya masuknya 5000 rupiah untuk 1 orang.
RR Mommy;Bukit Jaddhih;Positif;"Yang suka offroad pasti seneng bawa motor ke naik ke atas bukit jeddih-bangkalan,  ada banyak banget jalur menuju atas, kalau buat cewek yang belum bener"" bisa bawa motor mending jangan ?? jangan lupa bawa minum diatas nggak ada orang jualan sama sekali …"
Jurnalisman Jurnal;Bukit Jaddhih;Positif;View nya bagus... Cm sayang,akses masuk jalan msh jelek & masuk nya bnyk bayar...
Diana Anyelir;Bukit Jaddhih;Positif;Asyik cuma waktu itu sepi ya karena masih ada corona tapi ya ada aja pengunjung
SM Sinar Mucha;Bukit Jaddhih;Positif;Cukup indah, perpaduan alam dengan intruksi manusia. Cuma pelayanannya kurang.
Khoirur Roziqin;Bukit Jaddhih;Positif;BUKIT JADDIH MADURA adalah bukit yang masih di jadikan lahan pengambilan kapurnya utk bahan bangunan. Jadi ketika kita di bukit JADDIH ini kita akan melihat juga aktifitas para penambang kapur lengkap dengan segala peralatannya termasuk …
Said Hafidh;Bukit Jaddhih;Positif;View bagus, sayang tidak dikelola dengan baik, cenderung tanpa ada pengelola
Estetika Brahmana;Bukit Jaddhih;Positif;Perlu bawa payung,sunscreen,pake sepatu dan baju lengan panjang
Neng phien;Bukit Jaddhih;Positif;Tempat nya bagus banget dan terlalu panas karna mu gkin dari gunung kapurnya
nanang zovand;Bukit Jaddhih;Positif;Tempat nya nyaman banget sepanjang jalan mata dimanjakan dengan alam
Nuraini Yulianti;Bukit Jaddhih;Positif;Udh 3x kesini, banyak spot foto. Tempatnya unik, namun akses jalannya gaenak bgt
emelly chan;Bukit Jaddhih;Positif;bukit jaddhih yg ada di madura ini memang wajib di kunjungi .. view yang menarik & instagramable banget .. untuk tiket masuk kalian cukup membayar 10rb per orang loh, murah banget untuk view sekeren ini. .
Yanda Zaihifni;Bukit Jaddhih;Positif;Tempat yg indah lan layak untuk dikunjungi, akatetapi akses jalan yg cukup sulit
istiada istiada;Bukit Jaddhih;Positif;Tempatnya bagus cuma kurang difasilitasi,kebanyakan pungli
Yume Wisata;Bukit Jaddhih;Positif;"tempat wisata bagus dengan view yang bagus, cuman masyarakat setempat banyak jd tukang palak.
sehingga pengunjung gak nyaman aja semua2 serba bayar"
andityo pratama;Bukit Jaddhih;Positif;Lokasi wisata dengan spot foto yang menarik, sayangnya petunjuk arah ke lokasi masih minim dan untuk lokasinya masih dalam proses pembangunan
